strain	replicon	data_type	ext	clust_type	clust_num	cluster_size	ind_clust_size	rep_type	taxon
NBC_00012	CP108310_linear_right	Illumina	13	H	161	76	30	plasmid	['Streptomyces sp. NBC 00012']
NBC_00012	CP108310_linear_left	ONT	0	H	161	76	30	plasmid	['Streptomyces sp. NBC 00012']
NBC_00012	CP108310_linear_right	ONT	0	H	161	76	30	plasmid	['Streptomyces sp. NBC 00012']
NBC_00012	CP108311_linear_left	Illumina	13	H	161	76	30	plasmid	['Streptomyces sp. NBC 00012']
NBC_00012	CP108311_linear_right	Illumina	15	H	342	15	6	plasmid	['Streptomyces sp. NBC 00012']
NBC_00012	CP108311_linear_left	ONT	0	H	161	76	30	plasmid	['Streptomyces sp. NBC 00012']
NBC_00012	CP108311_linear_right	ONT	0	H	342	15	6	plasmid	['Streptomyces sp. NBC 00012']
NBC_00015	CP108306_linear_left	Illumina	23	H	210	6	3	chromosome	['Streptomyces sp. NBC_00015']
NBC_00015	CP108306_linear_right	Illumina	20	H	210	6	3	chromosome	['Streptomyces sp. NBC_00015']
NBC_00015	CP108306_linear_left	ONT	0	H	210	6	3	chromosome	['Streptomyces sp. NBC_00015']
NBC_00015	CP108306_linear_right	ONT	1	H	210	6	3	chromosome	['Streptomyces sp. NBC_00015']
NBC_00015	CP108307_linear_left	Illumina	21	H	210	6	3	plasmid	['Streptomyces sp. NBC_00015']
NBC_00015	CP108307_linear_right	Illumina	19	H	37	127	46	plasmid	['Streptomyces sp. NBC_00015']
NBC_00015	CP108307_linear_left	ONT	0	H	210	6	3	plasmid	['Streptomyces sp. NBC_00015']
NBC_00015	CP108307_linear_right	ONT	179	H	37	127	46	plasmid	['Streptomyces sp. NBC_00015']
NBC_00015	CP108308_linear_left	Illumina	23	S	361	2	1	plasmid	['Streptomyces sp. NBC_00015']
NBC_00015	CP108308_linear_right	Illumina	20	H	361	2	1	plasmid	['Streptomyces sp. NBC_00015']
NBC_00015	CP108308_linear_left	ONT	4509	S	361	2	1	plasmid	['Streptomyces sp. NBC_00015']
NBC_00015	CP108308_linear_right	ONT	4510	H	361	2	1	plasmid	['Streptomyces sp. NBC_00015']
NBC_00016	CP108304_linear_left	Illumina	12	H	9	77	30	chromosome	['Streptomyces sp. NBC 00016']
NBC_00016	CP108304_linear_right	Illumina	12	H	9	77	30	chromosome	['Streptomyces sp. NBC 00016']
NBC_00016	CP108304_linear_left	ONT	32	H	9	77	30	chromosome	['Streptomyces sp. NBC 00016']
NBC_00016	CP108304_linear_right	ONT	32	H	9	77	30	chromosome	['Streptomyces sp. NBC 00016']
NBC_00016	CP108305_linear_left	Illumina	12	H	37	127	46	plasmid	['Streptomyces sp. NBC 00016']
NBC_00016	CP108305_linear_right	Illumina	12	H	9	77	30	plasmid	['Streptomyces sp. NBC 00016']
NBC_00016	CP108305_linear_left	ONT	1	H	37	127	46	plasmid	['Streptomyces sp. NBC 00016']
NBC_00016	CP108305_linear_right	ONT	4	H	9	77	30	plasmid	['Streptomyces sp. NBC 00016']
NBC_00017	CP108341_linear_left	Illumina	12	H	2	327	116	chromosome	['Streptomyces purpurascens']
NBC_00017	CP108341_linear_right	Illumina	12	H	2	327	116	chromosome	['Streptomyces purpurascens']
NBC_00017	CP108341_linear_left	ONT	4	H	2	327	116	chromosome	['Streptomyces purpurascens']
NBC_00017	CP108341_linear_right	ONT	2	H	2	327	116	chromosome	['Streptomyces purpurascens']
NBC_00019	CP108302_linear_left	Illumina	12	S	360	5	2	chromosome	['Streptomyces sp. NBC 00019']
NBC_00019	CP108302_linear_right	Illumina	13	H	18	86	40	chromosome	['Streptomyces sp. NBC 00019']
NBC_00019	CP108302_linear_left	ONT	16	S	360	5	2	chromosome	['Streptomyces sp. NBC 00019']
NBC_00019	CP108302_linear_right	ONT	0	H	18	86	40	chromosome	['Streptomyces sp. NBC 00019']
NBC_00019	CP108303_linear_left	Illumina	14	H	360	5	2	plasmid	['Streptomyces sp. NBC 00019']
NBC_00019	CP108303_linear_right	Illumina	11	H	360	5	2	plasmid	['Streptomyces sp. NBC 00019']
NBC_00019	CP108303_linear_left	ONT	11	H	360	5	2	plasmid	['Streptomyces sp. NBC 00019']
NBC_00019	CP108303_linear_right	ONT	14	H	360	5	2	plasmid	['Streptomyces sp. NBC 00019']
NBC_00022	CP108299_linear_left	Illumina	12	H	9	77	30	chromosome	['Streptomyces canus']
NBC_00022	CP108299_linear_right	Illumina	12	H	9	77	30	chromosome	['Streptomyces canus']
NBC_00022	CP108299_linear_left	ONT	1273	H	9	77	30	chromosome	['Streptomyces canus']
NBC_00022	CP108299_linear_right	ONT	6	H	9	77	30	chromosome	['Streptomyces canus']
NBC_00022	CP108300_linear_left	Illumina	12	H	9	77	30	plasmid	['Streptomyces canus']
NBC_00022	CP108300_linear_right	Illumina	12	H	9	77	30	plasmid	['Streptomyces canus']
NBC_00022	CP108300_linear_left	ONT	3	H	9	77	30	plasmid	['Streptomyces canus']
NBC_00022	CP108300_linear_right	ONT	3	H	9	77	30	plasmid	['Streptomyces canus']
NBC_00022	CP108301_linear_left	Illumina	13	H	161	76	30	plasmid	['Streptomyces canus']
NBC_00022	CP108301_linear_right	Illumina	14	H	161	76	30	plasmid	['Streptomyces canus']
NBC_00022	CP108301_linear_left	ONT	0	H	161	76	30	plasmid	['Streptomyces canus']
NBC_00022	CP108301_linear_right	ONT	0	H	161	76	30	plasmid	['Streptomyces canus']
NBC_00023	CP108339_linear_left	Illumina	11	H	2	327	116	chromosome	['Streptomyces jietaisiensis']
NBC_00023	CP108339_linear_right	Illumina	11	H	2	327	116	chromosome	['Streptomyces jietaisiensis']
NBC_00023	CP108339_linear_left	ONT	2191	H	2	327	116	chromosome	['Streptomyces jietaisiensis']
NBC_00023	CP108339_linear_right	ONT	2188	H	2	327	116	chromosome	['Streptomyces jietaisiensis']
NBC_00024	CP108298_linear_left	Illumina	0	H	89	34	16	chromosome	['Streptomyces sp. NBC_00024']
NBC_00024	CP108298_linear_right	Illumina	0	H	89	34	16	chromosome	['Streptomyces sp. NBC_00024']
NBC_00024	CP108298_linear_left	ONT	0	H	89	34	16	chromosome	['Streptomyces sp. NBC_00024']
NBC_00024	CP108298_linear_right	ONT	0	H	89	34	16	chromosome	['Streptomyces sp. NBC_00024']
NBC_00027	CP108295_linear_left	Illumina	14	H	161	76	30	chromosome	['Streptomyces melanogenes']
NBC_00027	CP108295_linear_right	Illumina	152	S	356	1	1	chromosome	['Streptomyces melanogenes']
NBC_00027	CP108295_linear_left	ONT	4	H	161	76	30	chromosome	['Streptomyces melanogenes']
NBC_00027	CP108295_linear_right	ONT	23452	S	356	1	1	chromosome	['Streptomyces melanogenes']
NBC_00027	CP108296_linear_left	Illumina	0	S	357	1	1	plasmid	['Streptomyces melanogenes']
NBC_00027	CP108296_linear_right	Illumina	120	S	358	1	1	plasmid	['Streptomyces melanogenes']
NBC_00027	CP108296_linear_left	ONT	0	S	357	1	1	plasmid	['Streptomyces melanogenes']
NBC_00027	CP108296_linear_right	ONT	47365	S	358	1	1	plasmid	['Streptomyces melanogenes']
NBC_00027	CP108297_linear_left	Illumina	119	S	359	1	1	extrachromosomal	['Streptomyces melanogenes']
NBC_00027	CP108297_linear_right	Illumina	14	H	18	86	40	extrachromosomal	['Streptomyces melanogenes']
NBC_00027	CP108297_linear_left	ONT	30270	S	359	1	1	extrachromosomal	['Streptomyces melanogenes']
NBC_00027	CP108297_linear_right	ONT	530	H	18	86	40	extrachromosomal	['Streptomyces melanogenes']
NBC_00028	CP108293_linear_left	Illumina	14	H	12	26	12	chromosome	['Streptomyces sp. NBC 00028']
NBC_00028	CP108293_linear_right	Illumina	14	H	12	26	12	chromosome	['Streptomyces sp. NBC 00028']
NBC_00028	CP108293_linear_left	ONT	14	H	12	26	12	chromosome	['Streptomyces sp. NBC 00028']
NBC_00028	CP108293_linear_right	ONT	14	H	12	26	12	chromosome	['Streptomyces sp. NBC 00028']
NBC_00028	CP108294_linear_left	Illumina	14	H	12	26	12	plasmid	['Streptomyces sp. NBC 00028']
NBC_00028	CP108294_linear_right	Illumina	14	H	12	26	12	plasmid	['Streptomyces sp. NBC 00028']
NBC_00028	CP108294_linear_left	ONT	14	H	12	26	12	plasmid	['Streptomyces sp. NBC 00028']
NBC_00028	CP108294_linear_right	ONT	14	H	12	26	12	plasmid	['Streptomyces sp. NBC 00028']
NBC_00029	CP108292_linear_left	Illumina	13	H	106	28	14	chromosome	['Streptomyces sp. NBC_00029']
NBC_00029	CP108292_linear_right	Illumina	13	H	106	28	14	chromosome	['Streptomyces sp. NBC_00029']
NBC_00029	CP108292_linear_left	ONT	4	H	106	28	14	chromosome	['Streptomyces sp. NBC_00029']
NBC_00029	CP108292_linear_right	ONT	4	H	106	28	14	chromosome	['Streptomyces sp. NBC_00029']
NBC_00035	CP108291_linear_left	Illumina	39	H	50	43	22	chromosome	['Streptomyces sp. NBC_00035']
NBC_00035	CP108291_linear_right	Illumina	39	H	50	43	22	chromosome	['Streptomyces sp. NBC_00035']
NBC_00035	CP108291_linear_left	ONT	4	H	50	43	22	chromosome	['Streptomyces sp. NBC_00035']
NBC_00035	CP108291_linear_right	ONT	4	H	50	43	22	chromosome	['Streptomyces sp. NBC_00035']
NBC_00040	CP108287_linear_left	Illumina	23	H	105	13	7	chromosome	['Streptomyces sp. NBC_00040']
NBC_00040	CP108287_linear_right	Illumina	23	H	105	13	7	chromosome	['Streptomyces sp. NBC_00040']
NBC_00040	CP108287_linear_left	ONT	5	H	105	13	7	chromosome	['Streptomyces sp. NBC_00040']
NBC_00040	CP108287_linear_right	ONT	5	H	105	13	7	chromosome	['Streptomyces sp. NBC_00040']
NBC_00040	CP108288_linear_left	Illumina	0	H	296	4	3	plasmid	['Streptomyces sp. NBC_00040']
NBC_00040	CP108288_linear_right	Illumina	0	H	296	4	3	plasmid	['Streptomyces sp. NBC_00040']
NBC_00040	CP108288_linear_left	ONT	2	H	296	4	3	plasmid	['Streptomyces sp. NBC_00040']
NBC_00040	CP108288_linear_right	ONT	1	H	296	4	3	plasmid	['Streptomyces sp. NBC_00040']
NBC_00041	CP108283_linear_left	Illumina	13	H	18	86	40	chromosome	['Streptomyces atratus']
NBC_00041	CP108283_linear_right	Illumina	14	H	161	76	30	chromosome	['Streptomyces atratus']
NBC_00041	CP108283_linear_left	ONT	2410	H	18	86	40	chromosome	['Streptomyces atratus']
NBC_00041	CP108283_linear_right	ONT	0	H	161	76	30	chromosome	['Streptomyces atratus']
NBC_00041	CP108284_linear_left	Illumina	13	H	67	10	8	plasmid	['Streptomyces atratus']
NBC_00041	CP108284_linear_right	Illumina	13	H	18	86	40	plasmid	['Streptomyces atratus']
NBC_00041	CP108284_linear_left	ONT	6196	H	67	10	8	plasmid	['Streptomyces atratus']
NBC_00041	CP108284_linear_right	ONT	2407	H	18	86	40	plasmid	['Streptomyces atratus']
NBC_00041	CP108286_linear_left	Illumina	13	H	18	86	40	extrachromosomal	['Streptomyces atratus']
NBC_00041	CP108286_linear_right	Illumina	119	H	350	2	2	extrachromosomal	['Streptomyces atratus']
NBC_00041	CP108286_linear_left	ONT	1	H	18	86	40	extrachromosomal	['Streptomyces atratus']
NBC_00041	CP108286_linear_right	ONT	0	H	350	2	2	extrachromosomal	['Streptomyces atratus']
NBC_00043	CP108276_linear_left	Illumina	11	H	18	86	40	chromosome	['Streptomyces atratus']
NBC_00043	CP108276_linear_right	Illumina	12	H	161	76	30	chromosome	['Streptomyces atratus']
NBC_00043	CP108276_linear_left	ONT	2412	H	18	86	40	chromosome	['Streptomyces atratus']
NBC_00043	CP108276_linear_right	ONT	0	H	161	76	30	chromosome	['Streptomyces atratus']
NBC_00043	CP108277_linear_left	Illumina	11	H	18	86	40	plasmid	['Streptomyces atratus']
NBC_00043	CP108277_linear_right	Illumina	13	H	18	86	40	plasmid	['Streptomyces atratus']
NBC_00043	CP108277_linear_left	ONT	2411	H	18	86	40	plasmid	['Streptomyces atratus']
NBC_00043	CP108277_linear_right	ONT	2408	H	18	86	40	plasmid	['Streptomyces atratus']
NBC_00043	CP108280_linear_left	Illumina	11	H	18	86	40	extrachromosomal	['Streptomyces atratus']
NBC_00043	CP108280_linear_right	Illumina	121	S	350	2	2	extrachromosomal	['Streptomyces atratus']
NBC_00043	CP108280_linear_left	ONT	5	H	18	86	40	extrachromosomal	['Streptomyces atratus']
NBC_00043	CP108280_linear_right	ONT	0	S	350	2	2	extrachromosomal	['Streptomyces atratus']
NBC_00044	CP108273_linear_left	Illumina	22	H	14	19	6	chromosome	['Streptomyces zaomyceticus']
NBC_00044	CP108273_linear_right	Illumina	22	H	14	19	6	chromosome	['Streptomyces zaomyceticus']
NBC_00044	CP108273_linear_left	ONT	6	H	14	19	6	chromosome	['Streptomyces zaomyceticus']
NBC_00044	CP108273_linear_right	ONT	6	H	14	19	6	chromosome	['Streptomyces zaomyceticus']
NBC_00044	CP108274_linear_left	Illumina	23	H	14	19	6	plasmid	['Streptomyces zaomyceticus']
NBC_00044	CP108274_linear_right	Illumina	23	H	14	19	6	plasmid	['Streptomyces zaomyceticus']
NBC_00044	CP108274_linear_left	ONT	2	H	14	19	6	plasmid	['Streptomyces zaomyceticus']
NBC_00044	CP108274_linear_right	ONT	9	H	14	19	6	plasmid	['Streptomyces zaomyceticus']
NBC_00044	CP108275_linear_left	Illumina	22	H	14	19	6	plasmid	['Streptomyces zaomyceticus']
NBC_00044	CP108275_linear_right	Illumina	82	S	345	3	2	plasmid	['Streptomyces zaomyceticus']
NBC_00044	CP108275_linear_left	ONT	1	H	14	19	6	plasmid	['Streptomyces zaomyceticus']
NBC_00044	CP108275_linear_right	ONT	0	S	345	3	2	plasmid	['Streptomyces zaomyceticus']
NBC_00045	CP108271_linear_left	Illumina	119	S	343	1	1	chromosome	['Streptomyces sp. NBC 00045']
NBC_00045	CP108271_linear_right	Illumina	0	S	344	1	1	chromosome	['Streptomyces sp. NBC 00045']
NBC_00045	CP108271_linear_left	ONT	1232	S	343	1	1	chromosome	['Streptomyces sp. NBC 00045']
NBC_00045	CP108271_linear_right	ONT	0	S	344	1	1	chromosome	['Streptomyces sp. NBC 00045']
NBC_00045	CP108272_linear_left	Illumina	1	H	32	26	13	plasmid	['Streptomyces sp. NBC 00045']
NBC_00045	CP108272_linear_right	Illumina	2	H	32	26	13	plasmid	['Streptomyces sp. NBC 00045']
NBC_00045	CP108272_linear_left	ONT	1	H	32	26	13	plasmid	['Streptomyces sp. NBC 00045']
NBC_00045	CP108272_linear_right	ONT	7	H	32	26	13	plasmid	['Streptomyces sp. NBC 00045']
NBC_00046	CP108268_linear_left	Illumina	0	S	341	1	1	chromosome	['Streptomyces sp. NBC 00046']
NBC_00046	CP108268_linear_right	Illumina	0	H	224	36	12	chromosome	['Streptomyces sp. NBC 00046']
NBC_00046	CP108268_linear_left	ONT	0	S	341	1	1	chromosome	['Streptomyces sp. NBC 00046']
NBC_00046	CP108268_linear_right	ONT	0	H	224	36	12	chromosome	['Streptomyces sp. NBC 00046']
NBC_00046	CP108269_linear_left	Illumina	14	H	161	76	30	plasmid	['Streptomyces sp. NBC 00046']
NBC_00046	CP108269_linear_right	Illumina	14	H	161	76	30	plasmid	['Streptomyces sp. NBC 00046']
NBC_00046	CP108269_linear_left	ONT	8803	H	161	76	30	plasmid	['Streptomyces sp. NBC 00046']
NBC_00046	CP108269_linear_right	ONT	8805	H	161	76	30	plasmid	['Streptomyces sp. NBC 00046']
NBC_00046	CP108270_linear_left	Illumina	0	H	224	36	12	plasmid	['Streptomyces sp. NBC 00046']
NBC_00046	CP108270_linear_right	Illumina	0	S	342	15	6	plasmid	['Streptomyces sp. NBC 00046']
NBC_00046	CP108270_linear_left	ONT	0	H	224	36	12	plasmid	['Streptomyces sp. NBC 00046']
NBC_00046	CP108270_linear_right	ONT	0	S	342	15	6	plasmid	['Streptomyces sp. NBC 00046']
NBC_00048	CP108266_linear_left	Illumina	12	H	293	6	3	chromosome	['Streptomyces sp. NBC 00048']
NBC_00048	CP108266_linear_right	Illumina	12	H	293	6	3	chromosome	['Streptomyces sp. NBC 00048']
NBC_00048	CP108266_linear_left	ONT	1	H	293	6	3	chromosome	['Streptomyces sp. NBC 00048']
NBC_00048	CP108266_linear_right	ONT	0	H	293	6	3	chromosome	['Streptomyces sp. NBC 00048']
NBC_00048	CP108267_linear_left	Illumina	0	H	255	8	3	plasmid	['Streptomyces sp. NBC 00048']
NBC_00048	CP108267_linear_right	Illumina	0	H	255	8	3	plasmid	['Streptomyces sp. NBC 00048']
NBC_00048	CP108267_linear_left	ONT	7	H	255	8	3	plasmid	['Streptomyces sp. NBC 00048']
NBC_00048	CP108267_linear_right	ONT	4	H	255	8	3	plasmid	['Streptomyces sp. NBC 00048']
NBC_00049	CP108264_linear_left	Illumina	96	S	337	1	1	chromosome	['Streptomyces sp. NBC_00049']
NBC_00049	CP108264_linear_right	Illumina	106	S	338	1	1	chromosome	['Streptomyces sp. NBC_00049']
NBC_00049	CP108264_linear_left	ONT	0	S	337	1	1	chromosome	['Streptomyces sp. NBC_00049']
NBC_00049	CP108264_linear_right	ONT	49	S	338	1	1	chromosome	['Streptomyces sp. NBC_00049']
NBC_00049	CP108265_linear_left	Illumina	115	S	339	1	1	extrachromosomal	['Streptomyces sp. NBC_00049']
NBC_00049	CP108265_linear_right	Illumina	114	S	340	1	1	extrachromosomal	['Streptomyces sp. NBC_00049']
NBC_00049	CP108265_linear_left	ONT	3021	S	339	1	1	extrachromosomal	['Streptomyces sp. NBC_00049']
NBC_00049	CP108265_linear_right	ONT	2450	S	340	1	1	extrachromosomal	['Streptomyces sp. NBC_00049']
NBC_00053	CP108261_linear_left	Illumina	10	H	224	36	12	chromosome	['Streptomyces sp. NBC 00053']
NBC_00053	CP108261_linear_right	Illumina	16	H	161	76	30	chromosome	['Streptomyces sp. NBC 00053']
NBC_00053	CP108261_linear_left	ONT	0	H	224	36	12	chromosome	['Streptomyces sp. NBC 00053']
NBC_00053	CP108261_linear_right	ONT	3153	H	161	76	30	chromosome	['Streptomyces sp. NBC 00053']
NBC_00053	CP108262_linear_left	Illumina	14	H	161	76	30	plasmid	['Streptomyces sp. NBC 00053']
NBC_00053	CP108262_linear_right	Illumina	13	H	161	76	30	plasmid	['Streptomyces sp. NBC 00053']
NBC_00053	CP108262_linear_left	ONT	3127	H	161	76	30	plasmid	['Streptomyces sp. NBC 00053']
NBC_00053	CP108262_linear_right	ONT	0	H	161	76	30	plasmid	['Streptomyces sp. NBC 00053']
NBC_00053	CP108263_linear_left	Illumina	15	H	161	76	30	plasmid	['Streptomyces sp. NBC 00053']
NBC_00053	CP108263_linear_right	Illumina	14	H	161	76	30	plasmid	['Streptomyces sp. NBC 00053']
NBC_00053	CP108263_linear_left	ONT	3154	H	161	76	30	plasmid	['Streptomyces sp. NBC 00053']
NBC_00053	CP108263_linear_right	ONT	0	H	161	76	30	plasmid	['Streptomyces sp. NBC 00053']
NBC_00055	CP108259_linear_left	Illumina	12	H	84	17	10	chromosome	['Streptomyces sp. NBC 00055']
NBC_00055	CP108259_linear_right	Illumina	12	H	90	54	24	chromosome	['Streptomyces sp. NBC 00055']
NBC_00055	CP108259_linear_left	ONT	2	H	84	17	10	chromosome	['Streptomyces sp. NBC 00055']
NBC_00055	CP108259_linear_right	ONT	2	H	90	54	24	chromosome	['Streptomyces sp. NBC 00055']
NBC_00055	CP108260_linear_left	Illumina	11	S	336	10	6	plasmid	['Streptomyces sp. NBC 00055']
NBC_00055	CP108260_linear_right	Illumina	11	H	336	10	6	plasmid	['Streptomyces sp. NBC 00055']
NBC_00055	CP108260_linear_left	ONT	10	S	336	10	6	plasmid	['Streptomyces sp. NBC 00055']
NBC_00055	CP108260_linear_right	ONT	10	H	336	10	6	plasmid	['Streptomyces sp. NBC 00055']
NBC_00057	CP108256_linear_left	Illumina	89	S	335	3	1	chromosome	['Streptomyces sp. NBC 00057']
NBC_00057	CP108256_linear_right	Illumina	89	H	335	3	1	chromosome	['Streptomyces sp. NBC 00057']
NBC_00057	CP108256_linear_left	ONT	1	S	335	3	1	chromosome	['Streptomyces sp. NBC 00057']
NBC_00057	CP108256_linear_right	ONT	1	H	335	3	1	chromosome	['Streptomyces sp. NBC 00057']
NBC_00057	CP108257_linear_left	Illumina	89	H	335	3	1	plasmid	['Streptomyces sp. NBC 00057']
NBC_00057	CP108257_linear_right	Illumina	11	H	37	127	46	plasmid	['Streptomyces sp. NBC 00057']
NBC_00057	CP108257_linear_left	ONT	1	H	335	3	1	plasmid	['Streptomyces sp. NBC 00057']
NBC_00057	CP108257_linear_right	ONT	3	H	37	127	46	plasmid	['Streptomyces sp. NBC 00057']
NBC_00060	CP108253_linear_left	Illumina	12	H	18	86	40	chromosome	['Streptomyces sp. NBC 00060']
NBC_00060	CP108253_linear_right	Illumina	12	H	18	86	40	chromosome	['Streptomyces sp. NBC 00060']
NBC_00060	CP108253_linear_left	ONT	401	H	18	86	40	chromosome	['Streptomyces sp. NBC 00060']
NBC_00060	CP108253_linear_right	ONT	401	H	18	86	40	chromosome	['Streptomyces sp. NBC 00060']
NBC_00060	CP108254_linear_left	Illumina	13	H	67	10	8	plasmid	['Streptomyces sp. NBC 00060']
NBC_00060	CP108254_linear_right	Illumina	13	H	18	86	40	plasmid	['Streptomyces sp. NBC 00060']
NBC_00060	CP108254_linear_left	ONT	29	H	67	10	8	plasmid	['Streptomyces sp. NBC 00060']
NBC_00060	CP108254_linear_right	ONT	1	H	18	86	40	plasmid	['Streptomyces sp. NBC 00060']
NBC_00060	CP108255_linear_left	Illumina	13	H	18	86	40	extrachromosomal	['Streptomyces sp. NBC 00060']
NBC_00060	CP108255_linear_right	Illumina	117	S	334	1	1	extrachromosomal	['Streptomyces sp. NBC 00060']
NBC_00060	CP108255_linear_left	ONT	1	H	18	86	40	extrachromosomal	['Streptomyces sp. NBC 00060']
NBC_00060	CP108255_linear_right	ONT	21590	S	334	1	1	extrachromosomal	['Streptomyces sp. NBC 00060']
NBC_00069	CP108249_linear_left	Illumina	116	S	330	1	1	chromosome	['Streptomyces sp. NBC 00069']
NBC_00069	CP108249_linear_right	Illumina	12	H	209	27	13	chromosome	['Streptomyces sp. NBC 00069']
NBC_00069	CP108249_linear_left	ONT	6612	S	330	1	1	chromosome	['Streptomyces sp. NBC 00069']
