strain.x	replicon	clust_type.x	clust_num	cluster_size	ind_clust_size.x	ONT_ext	strain.y	clust_type.y	ind_clust_size.y	Ill_ext	rep_type
NBC_00015	CP108306_linear_left	H	210	6	3	0	NBC_00015	H	3	-23	chromosome
NBC_00015	CP108306_linear_right	H	210	6	3	1	NBC_00015	H	3	-20	chromosome
NBC_00015	CP108307_linear_left	H	210	6	3	0	NBC_00015	H	3	-21	plasmid
NBC_00015	CP108307_linear_right	H	37	127	46	179	NBC_00015	H	46	-19	plasmid
NBC_00015	CP108308_linear_left	S	361	2	1	4509	NBC_00015	S	1	-23	plasmid
NBC_00015	CP108308_linear_right	H	361	2	1	4510	NBC_00015	H	1	-20	plasmid
NBC_00016	CP108304_linear_left	H	9	77	30	32	NBC_00016	H	30	-12	chromosome
NBC_00016	CP108304_linear_right	H	9	77	30	32	NBC_00016	H	30	-12	chromosome
NBC_00016	CP108305_linear_left	H	37	127	46	1	NBC_00016	H	46	-12	plasmid
NBC_00016	CP108305_linear_right	H	9	77	30	4	NBC_00016	H	30	-12	plasmid
NBC_00017	CP108341_linear_left	H	2	327	116	4	NBC_00017	H	116	-12	chromosome
NBC_00017	CP108341_linear_right	H	2	327	116	2	NBC_00017	H	116	-12	chromosome
NBC_00019	CP108302_linear_left	S	360	5	2	16	NBC_00019	S	2	-12	chromosome
NBC_00019	CP108302_linear_right	H	18	86	40	0	NBC_00019	H	40	-13	chromosome
NBC_00019	CP108303_linear_left	H	360	5	2	11	NBC_00019	H	2	-14	plasmid
NBC_00019	CP108303_linear_right	H	360	5	2	14	NBC_00019	H	2	-11	plasmid
NBC_00022	CP108299_linear_left	H	9	77	30	1273	NBC_00022	H	30	-12	chromosome
NBC_00022	CP108299_linear_right	H	9	77	30	6	NBC_00022	H	30	-12	chromosome
NBC_00022	CP108300_linear_left	H	9	77	30	3	NBC_00022	H	30	-12	plasmid
NBC_00022	CP108300_linear_right	H	9	77	30	3	NBC_00022	H	30	-12	plasmid
NBC_00022	CP108301_linear_left	H	161	76	30	0	NBC_00022	H	30	-13	plasmid
NBC_00022	CP108301_linear_right	H	161	76	30	0	NBC_00022	H	30	-14	plasmid
NBC_00023	CP108339_linear_left	H	2	327	116	2191	NBC_00023	H	116	-11	chromosome
NBC_00023	CP108339_linear_right	H	2	327	116	2188	NBC_00023	H	116	-11	chromosome
NBC_00024	CP108298_linear_left	H	89	34	16	0	NBC_00024	H	16	-0	chromosome
NBC_00024	CP108298_linear_right	H	89	34	16	0	NBC_00024	H	16	-0	chromosome
NBC_00027	CP108295_linear_left	H	161	76	30	4	NBC_00027	H	30	-14	chromosome
NBC_00027	CP108295_linear_right	S	356	1	1	23452	NBC_00027	S	1	-152	chromosome
NBC_00027	CP108296_linear_left	S	357	1	1	0	NBC_00027	S	1	-0	plasmid
NBC_00027	CP108296_linear_right	S	358	1	1	47365	NBC_00027	S	1	-120	plasmid
NBC_00027	CP108297_linear_left	S	359	1	1	30270	NBC_00027	S	1	-119	extrachromosomal
NBC_00027	CP108297_linear_right	H	18	86	40	530	NBC_00027	H	40	-14	extrachromosomal
NBC_00028	CP108293_linear_left	H	12	26	12	14	NBC_00028	H	12	-14	chromosome
NBC_00028	CP108293_linear_right	H	12	26	12	14	NBC_00028	H	12	-14	chromosome
NBC_00028	CP108294_linear_left	H	12	26	12	14	NBC_00028	H	12	-14	plasmid
NBC_00028	CP108294_linear_right	H	12	26	12	14	NBC_00028	H	12	-14	plasmid
NBC_00029	CP108292_linear_left	H	106	28	14	4	NBC_00029	H	14	-13	chromosome
NBC_00029	CP108292_linear_right	H	106	28	14	4	NBC_00029	H	14	-13	chromosome
NBC_00035	CP108291_linear_left	H	50	43	22	4	NBC_00035	H	22	-39	chromosome
NBC_00035	CP108291_linear_right	H	50	43	22	4	NBC_00035	H	22	-39	chromosome
NBC_00040	CP108287_linear_left	H	105	13	7	5	NBC_00040	H	7	-23	chromosome
NBC_00040	CP108287_linear_right	H	105	13	7	5	NBC_00040	H	7	-23	chromosome
NBC_00040	CP108288_linear_left	H	296	4	3	2	NBC_00040	H	3	-0	plasmid
NBC_00040	CP108288_linear_right	H	296	4	3	1	NBC_00040	H	3	-0	plasmid
NBC_00041	CP108283_linear_left	H	18	86	40	2410	NBC_00041	H	40	-13	chromosome
NBC_00041	CP108283_linear_right	H	161	76	30	0	NBC_00041	H	30	-14	chromosome
NBC_00041	CP108284_linear_left	H	67	10	8	6196	NBC_00041	H	8	-13	plasmid
NBC_00041	CP108284_linear_right	H	18	86	40	2407	NBC_00041	H	40	-13	plasmid
NBC_00041	CP108286_linear_left	H	18	86	40	1	NBC_00041	H	40	-13	extrachromosomal
NBC_00041	CP108286_linear_right	H	350	2	2	0	NBC_00041	H	2	-119	extrachromosomal
NBC_00043	CP108276_linear_left	H	18	86	40	2412	NBC_00043	H	40	-11	chromosome
NBC_00043	CP108276_linear_right	H	161	76	30	0	NBC_00043	H	30	-12	chromosome
NBC_00043	CP108277_linear_left	H	18	86	40	2411	NBC_00043	H	40	-11	plasmid
NBC_00043	CP108277_linear_right	H	18	86	40	2408	NBC_00043	H	40	-13	plasmid
NBC_00043	CP108280_linear_left	H	18	86	40	5	NBC_00043	H	40	-11	extrachromosomal
NBC_00043	CP108280_linear_right	S	350	2	2	0	NBC_00043	S	2	-121	extrachromosomal
NBC_00044	CP108273_linear_left	H	14	19	6	6	NBC_00044	H	6	-22	chromosome
NBC_00044	CP108273_linear_right	H	14	19	6	6	NBC_00044	H	6	-22	chromosome
NBC_00044	CP108274_linear_left	H	14	19	6	2	NBC_00044	H	6	-23	plasmid
NBC_00044	CP108274_linear_right	H	14	19	6	9	NBC_00044	H	6	-23	plasmid
NBC_00044	CP108275_linear_left	H	14	19	6	1	NBC_00044	H	6	-22	plasmid
NBC_00044	CP108275_linear_right	S	345	3	2	0	NBC_00044	S	2	-82	plasmid
NBC_00045	CP108271_linear_left	S	343	1	1	1232	NBC_00045	S	1	-119	chromosome
NBC_00045	CP108271_linear_right	S	344	1	1	0	NBC_00045	S	1	-0	chromosome
NBC_00045	CP108272_linear_left	H	32	26	13	1	NBC_00045	H	13	-1	plasmid
NBC_00045	CP108272_linear_right	H	32	26	13	7	NBC_00045	H	13	-2	plasmid
NBC_00046	CP108268_linear_left	S	341	1	1	0	NBC_00046	S	1	-0	chromosome
NBC_00046	CP108268_linear_right	H	224	36	12	0	NBC_00046	H	12	-0	chromosome
NBC_00046	CP108269_linear_left	H	161	76	30	8803	NBC_00046	H	30	-14	plasmid
NBC_00046	CP108269_linear_right	H	161	76	30	8805	NBC_00046	H	30	-14	plasmid
NBC_00046	CP108270_linear_left	H	224	36	12	0	NBC_00046	H	12	-0	plasmid
NBC_00046	CP108270_linear_right	S	342	15	6	0	NBC_00046	S	6	-0	plasmid
NBC_00048	CP108266_linear_left	H	293	6	3	1	NBC_00048	H	3	-12	chromosome
NBC_00048	CP108266_linear_right	H	293	6	3	0	NBC_00048	H	3	-12	chromosome
NBC_00048	CP108267_linear_left	H	255	8	3	7	NBC_00048	H	3	-0	plasmid
NBC_00048	CP108267_linear_right	H	255	8	3	4	NBC_00048	H	3	-0	plasmid
NBC_00049	CP108264_linear_left	S	337	1	1	0	NBC_00049	S	1	-96	chromosome
NBC_00049	CP108264_linear_right	S	338	1	1	49	NBC_00049	S	1	-106	chromosome
NBC_00049	CP108265_linear_left	S	339	1	1	3021	NBC_00049	S	1	-115	extrachromosomal
NBC_00049	CP108265_linear_right	S	340	1	1	2450	NBC_00049	S	1	-114	extrachromosomal
NBC_00053	CP108261_linear_left	H	224	36	12	0	NBC_00053	H	12	-10	chromosome
NBC_00053	CP108261_linear_right	H	161	76	30	3153	NBC_00053	H	30	-16	chromosome
NBC_00053	CP108262_linear_left	H	161	76	30	3127	NBC_00053	H	30	-14	plasmid
NBC_00053	CP108262_linear_right	H	161	76	30	0	NBC_00053	H	30	-13	plasmid
NBC_00053	CP108263_linear_left	H	161	76	30	3154	NBC_00053	H	30	-15	plasmid
NBC_00053	CP108263_linear_right	H	161	76	30	0	NBC_00053	H	30	-14	plasmid
NBC_00055	CP108259_linear_left	H	84	17	10	2	NBC_00055	H	10	-12	chromosome
NBC_00055	CP108259_linear_right	H	90	54	24	2	NBC_00055	H	24	-12	chromosome
NBC_00055	CP108260_linear_left	S	336	10	6	10	NBC_00055	S	6	-11	plasmid
NBC_00055	CP108260_linear_right	H	336	10	6	10	NBC_00055	H	6	-11	plasmid
NBC_00057	CP108256_linear_left	S	335	3	1	1	NBC_00057	S	1	-89	chromosome
NBC_00057	CP108256_linear_right	H	335	3	1	1	NBC_00057	H	1	-89	chromosome
NBC_00057	CP108257_linear_left	H	335	3	1	1	NBC_00057	H	1	-89	plasmid
NBC_00057	CP108257_linear_right	H	37	127	46	3	NBC_00057	H	46	-11	plasmid
NBC_00060	CP108253_linear_left	H	18	86	40	401	NBC_00060	H	40	-12	chromosome
NBC_00060	CP108253_linear_right	H	18	86	40	401	NBC_00060	H	40	-12	chromosome
NBC_00060	CP108254_linear_left	H	67	10	8	29	NBC_00060	H	8	-13	plasmid
NBC_00060	CP108254_linear_right	H	18	86	40	1	NBC_00060	H	40	-13	plasmid
NBC_00060	CP108255_linear_left	H	18	86	40	1	NBC_00060	H	40	-13	extrachromosomal
NBC_00060	CP108255_linear_right	S	334	1	1	21590	NBC_00060	S	1	-117	extrachromosomal
NBC_00069	CP108249_linear_left	S	330	1	1	6612	NBC_00069	S	1	-116	chromosome
NBC_00069	CP108249_linear_right	H	209	27	13	1	NBC_00069	H	13	-12	chromosome
NBC_00073	CP108244_linear_left	H	32	26	13	50	NBC_00073	H	13	-12	chromosome
NBC_00073	CP108244_linear_right	H	32	26	13	50	NBC_00073	H	13	-12	chromosome
NBC_00073	CP108245_linear_left	H	32	26	13	48	NBC_00073	H	13	-14	plasmid
NBC_00073	CP108245_linear_right	H	31	18	12	14	NBC_00073	H	12	-0	plasmid
NBC_00073	CP108246_linear_left	H	13	19	8	3	NBC_00073	H	8	-13	plasmid
NBC_00073	CP108246_linear_right	H	13	19	8	5	NBC_00073	H	8	-12	plasmid
NBC_00075	CP108243_linear_left	H	40	13	5	59	NBC_00075	H	5	-0	chromosome
NBC_00075	CP108243_linear_right	H	40	13	5	12	NBC_00075	H	5	-0	chromosome
NBC_00076	CP108242_linear_left	S	326	11	5	0	NBC_00076	S	5	-14	chromosome
NBC_00076	CP108242_linear_right	H	326	11	5	0	NBC_00076	H	5	-14	chromosome
NBC_00077	CP108238_linear_left	S	321	2	1	10876	NBC_00077	S	1	-126	chromosome
NBC_00077	CP108238_linear_right	H	321	2	1	10876	NBC_00077	H	1	-126	chromosome
NBC_00077	CP108239_linear_left	S	322	1	1	0	NBC_00077	S	1	-0	plasmid
NBC_00077	CP108239_linear_right	S	323	1	1	0	NBC_00077	S	1	-140	plasmid
NBC_00077	CP108240_linear_left	H	50	43	22	15	NBC_00077	H	22	-24	extrachromosomal
NBC_00077	CP108240_linear_right	S	324	1	1	6544	NBC_00077	S	1	-115	extrachromosomal
NBC_00077	CP108241_linear_left	S	325	1	1	6850	NBC_00077	S	1	-115	extrachromosomal
NBC_00077	CP108241_linear_right	H	50	43	22	0	NBC_00077	H	22	-24	extrachromosomal
NBC_00079	CP108237_linear_left	H	18	86	40	7	NBC_00079	H	40	-15	chromosome
NBC_00079	CP108237_linear_right	H	40	13	5	0	NBC_00079	H	5	-0	chromosome
NBC_00080	CP108235_linear_left	H	191	13	7	2	NBC_00080	H	7	-11	chromosome
NBC_00080	CP108235_linear_right	H	191	13	7	2	NBC_00080	H	7	-11	chromosome
NBC_00080	CP108236_linear_left	H	37	127	46	6	NBC_00080	H	46	-11	plasmid
NBC_00080	CP108236_linear_right	H	37	127	46	6	NBC_00080	H	46	-11	plasmid
NBC_00081	CP108234_linear_left	H	106	28	14	0	NBC_00081	H	14	-0	chromosome
NBC_00081	CP108234_linear_right	H	106	28	14	0	NBC_00081	H	14	-0	chromosome
NBC_00082	CP108233_linear_left	H	303	7	3	11	NBC_00082	H	3	-14	chromosome
NBC_00082	CP108233_linear_right	H	303	7	3	18	NBC_00082	H	3	-14	chromosome
NBC_00084	CP108230_linear_left	H	14	19	6	16	NBC_00084	H	6	-22	chromosome
NBC_00084	CP108230_linear_right	H	14	19	6	16	NBC_00084	H	6	-22	chromosome
NBC_00084	CP108231_linear_left	H	14	19	6	8	NBC_00084	H	6	-23	plasmid
NBC_00084	CP108231_linear_right	H	14	19	6	16	NBC_00084	H	6	-23	plasmid
NBC_00084	CP108232_linear_left	H	14	19	6	0	NBC_00084	H	6	-22	plasmid
NBC_00084	CP108232_linear_right	H	14	19	6	35	NBC_00084	H	6	-23	plasmid
NBC_00087	CP108227_linear_left	H	9	77	30	0	NBC_00087	H	30	-13	chromosome
NBC_00087	CP108227_linear_right	H	9	77	30	3	NBC_00087	H	30	-13	chromosome
NBC_00087	CP108228_linear_left	H	9	77	30	2	NBC_00087	H	30	-13	plasmid
NBC_00087	CP108228_linear_right	H	9	77	30	3	NBC_00087	H	30	-12	plasmid
NBC_00088	CP108225_linear_left	H	37	127	46	0	NBC_00088	H	46	-15	chromosome
NBC_00088	CP108225_linear_right	H	37	127	46	0	NBC_00088	H	46	-14	chromosome
NBC_00088	CP108226_linear_left	H	37	127	46	8	NBC_00088	H	46	-12	plasmid
NBC_00088	CP108226_linear_right	H	37	127	46	1	NBC_00088	H	46	-11	plasmid
NBC_00090	CP108224_linear_left	H	14	19	6	24	NBC_00090	H	6	-19	chromosome
NBC_00090	CP108224_linear_right	H	14	19	6	4	NBC_00090	H	6	-19	chromosome
NBC_00093	CP108222_linear_left	H	99	5	3	0	NBC_00093	H	3	-11	chromosome
NBC_00093	CP108222_linear_right	H	18	86	40	0	NBC_00093	H	40	-14	chromosome
NBC_00093	CP108223_linear_left	H	53	14	8	726	NBC_00093	H	8	-12	extrachromosomal
NBC_00093	CP108223_linear_right	H	53	14	8	603	NBC_00093	H	8	-12	extrachromosomal
NBC_00096	CP108221_linear_left	S	317	1	1	0	NBC_00096	S	1	-100	chromosome
NBC_00096	CP108221_linear_right	S	318	1	1	0	NBC_00096	S	1	-107	chromosome
NBC_00099	CP108218_linear_left	H	2	327	116	9	NBC_00099	H	116	-11	chromosome
NBC_00099	CP108218_linear_right	H	2	327	116	7	NBC_00099	H	116	-11	chromosome
NBC_00099	CP108219_linear_left	H	2	327	116	9	NBC_00099	H	116	-11	plasmid
NBC_00099	CP108219_linear_right	H	2	327	116	8	NBC_00099	H	116	-11	plasmid
NBC_00101	CP108217_linear_left	H	3	17	9	5	NBC_00101	H	9	-14	chromosome
NBC_00101	CP108217_linear_right	H	3	17	9	5	NBC_00101	H	9	-14	chromosome
NBC_00104	CP108215_linear_left	H	89	34	16	4	NBC_00104	H	16	-17	chromosome
NBC_00104	CP108215_linear_right	H	89	34	16	4	NBC_00104	H	16	-17	chromosome
NBC_00105	CP108213_linear_left	H	37	127	46	6	NBC_00105	H	46	-11	chromosome
NBC_00105	CP108213_linear_right	H	37	127	46	6	NBC_00105	H	46	-11	chromosome
NBC_00105	CP108214_linear_left	H	37	127	46	6	NBC_00105	H	46	-11	plasmid
NBC_00105	CP108214_linear_right	H	106	28	14	1481	NBC_00105	H	14	-14	plasmid
NBC_00107	CP108207_linear_left	H	37	127	46	614	NBC_00107	H	46	-11	chromosome
NBC_00107	CP108207_linear_right	H	37	127	46	612	NBC_00107	H	46	-11	chromosome
NBC_00110	CP108206_linear_left	H	302	6	3	10	NBC_00110	H	3	-13	chromosome
NBC_00110	CP108206_linear_right	H	302	6	3	4	NBC_00110	H	3	-13	chromosome
NBC_00111	CP108203_linear_left	S	303	7	3	2900	NBC_00111	S	3	-0	chromosome
NBC_00111	CP108203_linear_right	S	304	1	1	0	NBC_00111	S	1	-119	chromosome
NBC_00111	CP108205_linear_left	H	4	93	35	1	NBC_00111	H	35	-0	plasmid
NBC_00111	CP108205_linear_right	H	4	93	35	0	NBC_00111	H	35	-0	plasmid
NBC_00114	CP108201_linear_left	H	125	8	4	3	NBC_00114	H	4	-15	chromosome
NBC_00114	CP108201_linear_right	H	125	8	4	3	NBC_00114	H	4	-15	chromosome
NBC_00116	CP108200_linear_left	H	2	327	116	56	NBC_00116	H	116	-12	chromosome
NBC_00116	CP108200_linear_right	H	2	327	116	8	NBC_00116	H	116	-11	chromosome
NBC_00117	CP108199_linear_left	H	2	327	116	5	NBC_00117	H	116	-0	chromosome
NBC_00117	CP108199_linear_right	H	2	327	116	5	NBC_00117	H	116	-0	chromosome
NBC_00118	CP108198_linear_left	S	302	6	3	0	NBC_00118	S	3	-0	chromosome
NBC_00118	CP108198_linear_right	H	302	6	3	0	NBC_00118	H	3	-0	chromosome
NBC_00119	CP108195_linear_left	S	297	2	1	0	NBC_00119	S	1	-0	chromosome
NBC_00119	CP108195_linear_right	H	297	2	1	0	NBC_00119	H	1	-0	chromosome
NBC_00119	CP108196_linear_left	S	298	1	1	895	NBC_00119	S	1	-99	extrachromosomal
NBC_00119	CP108196_linear_right	S	299	1	1	282	NBC_00119	S	1	-111	extrachromosomal
NBC_00119	CP108197_linear_left	S	300	1	1	12614	NBC_00119	S	1	-113	extrachromosomal
NBC_00119	CP108197_linear_right	S	301	1	1	0	NBC_00119	S	1	-120	extrachromosomal
NBC_00121	CP108194_linear_left	H	25	50	26	6915	NBC_00121	H	26	-14	chromosome
NBC_00121	CP108194_linear_right	H	25	50	26	6915	NBC_00121	H	26	-14	chromosome
NBC_00122	CP108191_linear_left	S	293	6	3	26	NBC_00122	S	3	-0	chromosome
NBC_00122	CP108191_linear_right	H	293	6	3	2	NBC_00122	H	3	-0	chromosome
NBC_00122	CP108192_linear_left	S	294	2	1	5	NBC_00122	S	1	-107	plasmid
NBC_00122	CP108192_linear_right	H	294	2	1	5	NBC_00122	H	1	-107	plasmid
NBC_00122	CP108193_linear_left	S	295	1	1	23276	NBC_00122	S	1	-122	plasmid
NBC_00122	CP108193_linear_right	S	296	4	3	13	NBC_00122	S	3	-0	plasmid
NBC_00123	CP108188_linear_left	H	37	127	46	6	NBC_00123	H	46	-13	chromosome
NBC_00123	CP108188_linear_right	H	37	127	46	6	NBC_00123	H	46	-13	chromosome
NBC_00123	CP108189_linear_left	S	292	2	1	16	NBC_00123	S	1	-61	plasmid
NBC_00123	CP108189_linear_right	H	37	127	46	10	NBC_00123	H	46	-12	plasmid
NBC_00123	CP108190_linear_left	H	37	127	46	3	NBC_00123	H	46	-11	plasmid
NBC_00123	CP108190_linear_right	H	292	2	1	2	NBC_00123	H	1	-61	plasmid
NBC_00125	CP108184_linear_left	H	110	11	7	3	NBC_00125	H	7	-11	chromosome
NBC_00125	CP108184_linear_right	H	110	11	7	3	NBC_00125	H	7	-11	chromosome
NBC_00125	CP108185_linear_left	H	90	54	24	7	NBC_00125	H	24	-12	plasmid
NBC_00125	CP108185_linear_right	H	2	327	116	6	NBC_00125	H	116	-12	plasmid
NBC_00131	CP108334_linear_left	H	106	28	14	125	NBC_00131	H	14	-16	chromosome
NBC_00131	CP108334_linear_right	H	106	28	14	125	NBC_00131	H	14	-16	chromosome
NBC_00131	CP108335_linear_left	H	106	28	14	125	NBC_00131	H	14	-16	plasmid
NBC_00131	CP108335_linear_right	H	106	28	14	125	NBC_00131	H	14	-16	plasmid
NBC_00131	CP108336_linear_left	S	378	2	1	0	NBC_00131	S	1	-129	extrachromosomal
NBC_00131	CP108336_linear_right	H	378	2	1	876	NBC_00131	H	1	-124	extrachromosomal
NBC_00133	CP108183_linear_left	H	253	17	8	33	NBC_00133	H	8	-17	chromosome
NBC_00133	CP108183_linear_right	H	253	17	8	9	NBC_00133	H	8	-18	chromosome
NBC_00134	CP108181_linear_left	H	53	14	8	16	NBC_00134	H	8	-0	chromosome
NBC_00134	CP108181_linear_right	H	106	28	14	16	NBC_00134	H	14	-0	chromosome
NBC_00135	CP108179_linear_left	H	9	77	30	910	NBC_00135	H	30	-11	chromosome
NBC_00135	CP108179_linear_right	H	9	77	30	9	NBC_00135	H	30	-11	chromosome
NBC_00135	CP108180_linear_left	H	9	77	30	3	NBC_00135	H	30	-11	plasmid
NBC_00135	CP108180_linear_right	H	9	77	30	1342	NBC_00135	H	30	-11	plasmid
NBC_00138	CP108177_linear_left	H	245	11	3	37	NBC_00138	H	3	-22	chromosome
NBC_00138	CP108177_linear_right	H	245	11	3	4	NBC_00138	H	3	-22	chromosome
NBC_00144	CP108175_linear_left	H	2	327	116	50	NBC_00144	H	116	-12	chromosome
NBC_00144	CP108175_linear_right	H	2	327	116	7	NBC_00144	H	116	-12	chromosome
NBC_00144	CP108176_linear_left	H	120	20	8	7	NBC_00144	H	8	-13	plasmid
NBC_00144	CP108176_linear_right	H	120	20	8	0	NBC_00144	H	8	-11	plasmid
NBC_00145	CP108174_linear_left	H	53	14	8	1	NBC_00145	H	8	-6	chromosome
NBC_00145	CP108174_linear_right	H	53	14	8	0	NBC_00145	H	8	-5	chromosome
NBC_00147	CP108172_linear_left	H	57	5	4	6	NBC_00147	H	4	-14	chromosome
NBC_00147	CP108172_linear_right	H	128	6	4	6	NBC_00147	H	4	-14	chromosome
NBC_00147	CP108173_linear_left	H	9	77	30	3	NBC_00147	H	30	-11	plasmid
NBC_00147	CP108173_linear_right	H	37	127	46	3	NBC_00147	H	46	-11	plasmid
NBC_00148	CP108169_linear_left	S	279	1	1	3384	NBC_00148	S	1	-0	chromosome
NBC_00148	CP108169_linear_right	H	50	43	22	1	NBC_00148	H	22	-18	chromosome
NBC_00150	CP130716_linear_left	H	18	86	40	0	NBC_00150	H	40	-10	chromosome
NBC_00150	CP130716_linear_right	H	18	86	40	0	NBC_00150	H	40	-13	chromosome
NBC_00150	CP130717_linear_left	S	1048	1	1	0	NBC_00150	S	1	-0	plasmid
NBC_00150	CP130717_linear_right	H	18	86	40	3	NBC_00150	H	40	-12	plasmid
NBC_00156	CP108164_linear_left	H	111	12	6	6	NBC_00156	H	6	-17	chromosome
NBC_00156	CP108164_linear_right	H	111	12	6	5	NBC_00156	H	6	-18	chromosome
NBC_00158	CP108161_linear_left	H	75	25	13	0	NBC_00158	H	13	-19	chromosome
NBC_00158	CP108161_linear_right	H	75	25	13	4	NBC_00158	H	13	-16	chromosome
NBC_00158	CP108162_linear_left	H	209	27	13	386	NBC_00158	H	13	-6	plasmid
NBC_00158	CP108162_linear_right	H	31	18	12	0	NBC_00158	H	12	-12	plasmid
NBC_00158	CP108163_linear_left	H	235	8	5	6	NBC_00158	H	5	-0	plasmid
NBC_00158	CP108163_linear_right	S	278	1	1	0	NBC_00158	S	1	-0	plasmid
NBC_00161	CP108156_linear_left	H	75	25	13	0	NBC_00161	H	13	-12	chromosome
NBC_00161	CP108156_linear_right	H	75	25	13	26	NBC_00161	H	13	-12	chromosome
NBC_00161	CP108157_linear_left	H	75	25	13	1219	NBC_00161	H	13	-13	plasmid
NBC_00161	CP108157_linear_right	H	31	18	12	14	NBC_00161	H	12	-12	plasmid
NBC_00161	CP108159_linear_left	H	0	42	14	3	NBC_00161	H	14	-12	plasmid
NBC_00161	CP108159_linear_right	H	0	42	14	8	NBC_00161	H	14	-13	plasmid
NBC_00164	CP108153_linear_left	H	89	34	16	4	NBC_00164	H	16	-16	chromosome
NBC_00164	CP108153_linear_right	H	89	34	16	4	NBC_00164	H	16	-15	chromosome
NBC_00164	CP108154_linear_left	S	272	1	1	1302	NBC_00164	S	1	-106	extrachromosomal
NBC_00164	CP108154_linear_right	S	273	1	1	184	NBC_00164	S	1	-108	extrachromosomal
NBC_00165	CP108152_linear_left	H	75	25	13	0	NBC_00165	H	13	-12	chromosome
NBC_00165	CP108152_linear_right	H	75	25	13	0	NBC_00165	H	13	-12	chromosome
NBC_00168	CP108148_linear_left	H	110	11	7	0	NBC_00168	H	7	-1	chromosome
NBC_00168	CP108148_linear_right	H	110	11	7	0	NBC_00168	H	7	-1	chromosome
NBC_00169	CP108147_linear_left	H	240	8	4	9	NBC_00169	H	4	-13	chromosome
NBC_00169	CP108147_linear_right	H	240	8	4	9	NBC_00169	H	4	-13	chromosome
NBC_00171	CP108146_linear_left	H	37	127	46	11	NBC_00171	H	46	-12	chromosome
NBC_00171	CP108146_linear_right	H	37	127	46	246	NBC_00171	H	46	-12	chromosome
NBC_00172	CP108145_linear_left	S	265	2	1	0	NBC_00172	S	1	-0	chromosome
NBC_00172	CP108145_linear_right	H	265	2	1	0	NBC_00172	H	1	-0	chromosome
NBC_00178	CP108143_linear_left	H	37	127	46	4	NBC_00178	H	46	-11	chromosome
NBC_00178	CP108143_linear_right	H	37	127	46	0	NBC_00178	H	46	-14	chromosome
NBC_00178	CP108144_linear_left	H	37	127	46	4	NBC_00178	H	46	-11	plasmid
NBC_00178	CP108144_linear_right	H	37	127	46	2	NBC_00178	H	46	-12	plasmid
NBC_00179	CP108142_linear_left	S	264	2	1	0	NBC_00179	S	1	-0	chromosome
NBC_00179	CP108142_linear_right	H	264	2	1	0	NBC_00179	H	1	-0	chromosome
