strain_name	accession	taxon	DNA_type	DNA_length	tap_id	tpg_id	intergenic_dist	side	replicon_end	clust_type	clust_num	seq_len	hit_perc	strand	ign1	ign2	cigar	target	cluster_size
NBC_01124	CP108643	['Streptomyces sp. NBC_01124']	chromosome	8295141	PRJNA747871:OG368_35680	PRJNA747871:OG368_35685	15	right	CP108643_linear_right	H	3	90	85.6	+	0	0	9D81M9I	AY225511.1_left AY225511 Streptomyces lividans strain 1326 plasmid SLP2, complete sequence.	17
NBC_01248	CP108477	['Streptomyces mirabilis']	chromosome	11781953	PRJNA747871:OG213_53965	PRJNA747871:OG213_53970	6	right	CP108477_linear_right	H	2	90	94.4	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01248	CP108477	['Streptomyces mirabilis']	chromosome	11781953	PRJNA747871:OG213_00020	PRJNA747871:OG213_00015	6	left	CP108477_linear_left	H	2	90	93.3	+	0	0	71MI18MD	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00857	CP108830	['Streptomyces sp. NBC 00857']	plasmid	75784	PRJNA747871:OH820_35490	PRJNA747871:OH820_35495	15	right	CP108830_linear_right	H	2	90	72.2	+	0	0	41MI20MI27M2D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00865	CP108821	['Streptomyces chartreusis']	plasmid	938812	PRJNA747871:OG938_47745	PRJNA747871:OG938_47750	12	right	CP108821_linear_right	H	2	90	74.4	+	0	0	43M13I26MD8M12D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00865	CP108821	['Streptomyces chartreusis']	plasmid	938812	PRJNA747871:OG938_44050	PRJNA747871:OG938_44045	12	left	CP108821_linear_left	H	2	90	74.4	+	0	0	43M13I26MD8M12D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01579	CP109345	['Streptomyces sp. NBC 01579']	plasmid	96677	PRJNA747871:OHA20_44180	PRJNA747871:OHA20_44175	7	left	CP109345_linear_left	H	455	90	75.6	+	0	0	68MI21MD	CP108456_linear_left	19
NBC_01409	CP109531	['Streptomyces phaeochromogenes']	chromosome	11619802	PRJNA747871:OG418_00270	PRJNA747871:OG418_00265	12	left	CP109531_linear_left	H	979	90	83.3	+	0	0	90M	CP109468_linear_left	5
NBC_01012	CP108688	['Streptomyces sp. NBC_01012']	chromosome	7722973	PRJNA747871:OG623_34490	PRJNA747871:OG623_34495	12	right	CP108688_linear_right	H	90	90	85.6	+	0	0	60MD29MI	CP107845_linear_left	54
NBC_01012	CP108688	['Streptomyces sp. NBC_01012']	chromosome	7722973	PRJNA747871:OG623_00015	PRJNA747871:OG623_00010	12	left	CP108688_linear_left	H	90	90	85.6	+	0	0	60MD29MI	CP107845_linear_left	54
NBC_01662	CP109242	['Streptomyces anthocyanicus']	chromosome	8651515	PRJNA747871:OG855_39105	PRJNA747871:OG855_39110	9	right	CP109242_linear_right	H	394	90	75.6	+	0	0	41MD20M3D25M4I	CP108360_linear_left	7
NBC_00633	CP107731	['Streptomyces canus']	chromosome	10700624	PRJNA747871:OHB22_49245	PRJNA747871:OHB22_49250	12	right	CP107731_linear_right	H	2	90	93.3	+	0	0	D89MI	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00633	CP107731	['Streptomyces canus']	chromosome	10700624	PRJNA747871:OHB22_00030	PRJNA747871:OHB22_00025	12	left	CP107731_linear_left	H	2	90	93.3	+	0	0	D89MI	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01450	CP109481	['Streptomyces sp. NBC_01450']	plasmid	2351338	PRJNA747871:OG568_57685	PRJNA747871:OG568_57690	6	right	CP109481_linear_right	H	215	90	84.4	+	0	0	13D46MD30M14I	CP108070_linear_left	17
NBC_01340	CP108366	['Streptomyces sp. NBC_01340']	plasmid	1707477	PRJNA747871:OG585_51505	PRJNA747871:OG585_51510	6	right	CP108366_linear_right	H	215	90	83.3	+	0	0	12D45MD32M13I	CP108070_linear_left	17
NBC_00144	CP108175	['Streptomyces sp. NBC 00144']	chromosome	8573167	PRJNA747871:OHA44_00315	PRJNA747871:OHA44_00310	7	left	CP108175_linear_left	H	2	90	94.4	+	0	0	48MD41MI	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00358	CP107976	['Streptomyces sp. NBC 00358']	chromosome	9299130	PRJNA747871:OHT01_39990	PRJNA747871:OHT01_39995	15	right	CP107976_linear_right	H	2	90	93.3	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00358	CP107976	['Streptomyces sp. NBC 00358']	chromosome	9299130	PRJNA747871:OHT01_00040	PRJNA747871:OHT01_00035	15	left	CP107976_linear_left	H	2	90	93.3	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01224	CP108530	['Streptomyces sp. NBC_01224']	plasmid	351542	PRJNA747871:OG609_45915	PRJNA747871:OG609_45920	10	right	CP108530_linear_right	H	504	90	100.0	+	0	0	=	CP108529_linear_left	4
NBC_01497	CP109428	['Streptomyces sp. NBC_01497']	plasmid	528823	PRJNA747871:OG310_38205	PRJNA747871:OG310_38210	12	right	CP109428_linear_right	H	2	90	82.2	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00379	CP107957	['Streptomyces mirabilis']	chromosome	11832677	PRJNA747871:OG981_53645	PRJNA747871:OG981_53650	6	right	CP107957_linear_right	H	139	90	76.7	+	0	0	70M4I16M4D	CP107916_linear_left	33
NBC_00379	CP107957	['Streptomyces mirabilis']	chromosome	11832677	PRJNA747871:OG981_00180	PRJNA747871:OG981_00175	6	left	CP107957_linear_left	H	139	90	76.7	+	0	0	70M4I16M4D	CP107916_linear_left	33
NBC_00857	CP108830	['Streptomyces sp. NBC 00857']	plasmid	75784	PRJNA747871:OH820_35260	PRJNA747871:OH820_35255	6	left	CP108830_linear_left	H	25	90	73.3	+	0	0	43M10D6MD14MI16M10I	CP107746_linear_left	50
NBC_01020	CP108681	['Streptomyces sp. NBC_01020']	chromosome	8361885	PRJNA747871:OG372_36500	PRJNA747871:OG372_36505	7	right	CP108681_linear_right	H	50	90	82.2	+	0	0	13I60M2D13MD4M10D	CP107780_linear_left	43
NBC_00440	CP107921	['Streptomyces sp. NBC 00440']	chromosome	8402968	PRJNA747871:OHB13_36830	PRJNA747871:OHB13_36835	7	right	CP107921_linear_right	H	2	90	93.3	+	0	0	56MI33MD	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00710	CP108995	['Streptomyces canus']	chromosome	10812875	PRJNA747871:OIE08_49425	PRJNA747871:OIE08_49430	11	right	CP108995_linear_right	H	2	90	95.6	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00710	CP108995	['Streptomyces canus']	chromosome	10812875	PRJNA747871:OIE08_00035	PRJNA747871:OIE08_00030	11	left	CP108995_linear_left	H	2	90	95.6	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01562	CP109357	['Streptomyces sp. NBC 01562']	plasmid	1007905	PRJNA747871:OG854_52305	PRJNA747871:OG854_52310	6	right	CP109357_linear_right	H	2	90	87.8	+	0	0	73M2I15M2D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00017	CP108341	['Streptomyces purpurascens']	chromosome	9188115	PRJNA747871:OHU35_41430	PRJNA747871:OHU35_41435	6	right	CP108341_linear_right	H	2	90	94.4	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00017	CP108341	['Streptomyces purpurascens']	chromosome	9188115	PRJNA747871:OHU35_00080	PRJNA747871:OHU35_00075	6	left	CP108341_linear_left	H	2	90	93.3	+	0	0	62MI8MI18M2D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00467	CP107894	['Streptomyces sp. NBC 00467']	chromosome	8364747	PRJNA747871:OG803_35340	PRJNA747871:OG803_35345	6	right	CP107894_linear_right	H	2	90	76.7	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00728	CP108980	['Streptomyces sp. NBC_00728']	chromosome	9651205	PRJNA747871:OG397_41490	PRJNA747871:OG397_41495	15	right	CP108980_linear_right	H	2	90	93.3	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00641	CP109044	['Streptomyces halstedii']	chromosome	7458198	PRJNA747871:OG923_32570	PRJNA747871:OG923_32575	15	right	CP109044_linear_right	H	37	90	92.2	+	0	0	D89MI	CP107763_linear_left	127
NBC_00963	CP108745	['Streptomyces sp. NBC_00963']	chromosome	8299271	PRJNA747871:OG760_36060	PRJNA747871:OG760_36065	7	right	CP108745_linear_right	H	2	90	90.0	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00843	CP108849	['Streptomyces niveus']	chromosome	8502813	PRJNA747871:OG211_00215	PRJNA747871:OG211_00210	12	left	CP108849_linear_left	H	50	90	72.2	+	0	0	6I54M15I15M21D	CP107780_linear_left	43
NBC_01346	CP108360	['Streptomyces microflavus']	chromosome	8434431	PRJNA747871:OG227_37605	PRJNA747871:OG227_37610	9	right	CP108360_linear_right	H	394	90	100.0	+	0	0	=	CP108360_linear_left	7
NBC_00932	CP108765	['Streptomyces sp. NBC_00932']	chromosome	8477959	PRJNA747871:OG221_00505	PRJNA747871:OG221_00500	7	left	CP108765_linear_left	H	50	90	83.3	+	0	0	13I61M2D12MD4M10D	CP107780_linear_left	43
NBC_01447	CP109483	['Streptomyces niveus']	chromosome	8500400	PRJNA747871:OG275_00470	PRJNA747871:OG275_00465	12	left	CP109483_linear_left	H	2	90	73.3	+	0	0	57M4I29M4D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01542	CP109389	['Streptomyces niveus']	chromosome	8715066	PRJNA747871:OHA80_38990	PRJNA747871:OHA80_38995	12	right	CP109389_linear_right	H	2	90	73.3	+	0	0	61M4I25M4D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01538	CP109391	['Streptomyces sp. NBC_01538']	chromosome	10306119	PRJNA747871:OG750_00635	PRJNA747871:OG750_00630	6	left	CP109391_linear_left	H	125	90	82.2	+	0	0	7D21M3I30MI32M3I	CP107902_linear_left	8
NBC_00280	CP108059	['Streptomyces sp. NBC 00280']	chromosome	10398828	PRJNA747871:OG960_00040	PRJNA747871:OG960_00035	6	left	CP108059_linear_left	H	2	90	90.0	+	0	0	2I69MI18M3D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01411	CP109529	['Streptomyces sp. NBC_01411']	chromosome	8601356	PRJNA747871:OG232_37565	PRJNA747871:OG232_37570	7	right	CP109529_linear_right	H	2	90	95.6	+	0	0	D89MI	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01391	CP109550	['Streptomyces microflavus']	chromosome	8034003	PRJNA747871:OG270_35650	PRJNA747871:OG270_35655	9	right	CP109550_linear_right	H	510	90	72.2	+	0	0	17D55M3D9MD5M21I	CP108535_circular_left	44
NBC_01391	CP109550	['Streptomyces microflavus']	chromosome	8034003	PRJNA747871:OG270_00045	PRJNA747871:OG270_00040	9	left	CP109550_linear_left	H	510	90	72.2	+	0	0	17D55M3D9MD5M21I	CP108535_circular_left	44
NBC_01536	CP109393	['Streptomyces niveus']	chromosome	8603154	PRJNA747871:OG443_37835	PRJNA747871:OG443_37840	12	right	CP109393_linear_right	H	2	90	73.3	+	0	0	61M4I25M4D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01235	CP108513	['Streptomyces sp. NBC_01235']	chromosome	11090044	PRJNA747871:OG289_49465	PRJNA747871:OG289_49470	10	right	CP108513_linear_right	H	50	90	72.2	+	0	0	17I64M9D9M8D	CP107780_linear_left	43
NBC_01235	CP108513	['Streptomyces sp. NBC_01235']	chromosome	11090044	PRJNA747871:OG289_00045	PRJNA747871:OG289_00040	10	left	CP108513_linear_left	H	50	90	72.2	+	0	0	17I64M9D9M8D	CP107780_linear_left	43
NBC_00023	CP108339	['Streptomyces jietaisiensis']	chromosome	7551461	PRJNA747871:OG783_32860	PRJNA747871:OG783_32865	12	right	CP108339_linear_right	H	2	90	92.2	+	0	0	73M2I15M2D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00289	CP108049	['Streptomyces sp. NBC 00289']	plasmid	89854	PRJNA747871:OG985_50220	PRJNA747871:OG985_50225	6	right	CP108049_linear_right	H	90	90	84.4	+	0	0	36MI53MD	CP107845_linear_left	54
NBC_00805	CP108895	['Streptomyces jietaisiensis']	chromosome	7415499	PRJNA747871:OHA67_00515	PRJNA747871:OHA67_00510	12	left	CP108895_linear_left	H	2	90	93.3	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00595	CP108324	['Streptomyces jietaisiensis']	chromosome	7533398	PRJNA747871:OG796_00420	PRJNA747871:OG796_00415	12	left	CP108324_linear_left	H	66	90	78.9	+	0	0	14D76M14I	CP107797_linear_left	23
NBC_00522	CP108325	['Streptomyces jietaisiensis']	chromosome	7520670	PRJNA747871:OHB18_32645	PRJNA747871:OHB18_32650	12	right	CP108325_linear_right	H	66	90	91.1	+	0	0	I58MD18MI12MD	CP107797_linear_left	23
NBC_00489	CP108330	['Streptomyces jietaisiensis']	chromosome	7531893	PRJNA747871:OHN36_32700	PRJNA747871:OHN36_32705	12	right	CP108330_linear_right	H	66	90	81.1	+	0	0	I89MD	CP107797_linear_left	23
NBC_01507	CP109421	['Streptomyces niveus']	chromosome	8486574	PRJNA747871:OG501_37585	PRJNA747871:OG501_37590	12	right	CP109421_linear_right	H	215	90	75.6	+	0	0	12D45M2D7MD23M15I	CP108070_linear_left	17
NBC_01023	CP108672	['Streptomyces sp. NBC_01023']	plasmid	329615	PRJNA747871:OG217_37530	PRJNA747871:OG217_37535	7	left	CP108672_linear_left	H	50	90	83.3	+	0	0	8I68M3D14M5D	CP107780_linear_left	43
NBC_00478	CP108343	['Streptomyces jietaisiensis']	chromosome	7646405	PRJNA747871:OG983_32840	PRJNA747871:OG983_32845	12	right	CP108343_linear_right	H	2	90	95.6	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01366	CP109581	['Streptomyces griseoaurantiacus']	chromosome	7654876	PRJNA747871:OG404_32845	PRJNA747871:OG404_32850	12	right	CP109581_linear_right	H	49	90	78.9	+	0	0	I70M2D18MI	CP107773_linear_left	34
NBC_00616	CP108323	['Streptomyces jietaisiensis']	chromosome	7528880	PRJNA747871:OG789_00435	PRJNA747871:OG789_00430	12	left	CP108323_linear_left	H	2	90	95.6	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
