strain	replicon	left_ext	right_ext
NBC_00208	CP108123	11	11
NBC_00209	CP108121	12	17
NBC_00209	CP108122	12	12
NBC_00210	CP108120	13	13
NBC_00211	CP108118	rejected	rejected
NBC_00211	CP108119	17	18
NBC_00212	CP108115	12	12
NBC_00212	CP108116	12	12
NBC_00215	CP108114	12	12
NBC_00217	CP108113	11	11
NBC_00220	CP108111	117	117
NBC_00221	CP108345	13	13
NBC_00223	CP108109	13	13
NBC_00224	CP108106	12	12
NBC_00224	CP108107	13	12
NBC_00224	CP108108	120	14
NBC_00225	CP108105	rejected	rejected
NBC_00226	CP108103	12	12
NBC_00228	CP108102	rejected	rejected
NBC_00236	CP108100	15	15
NBC_00238	CP108344	rejected	12
NBC_00239	CP108095	89	119
NBC_00239	CP108096	14	15
NBC_00239	CP108097	86	12
NBC_00247	CP108093	118	rejected
NBC_00248	CP108090	11	11
NBC_00248	CP108091	14	14
NBC_00250	CP108088	21	rejected
NBC_00250	CP108089	21	22
NBC_00252	CP108087	17	17
NBC_00257	CP108082	12	12
NBC_00257	CP108083	12	11
NBC_00258	CP108081	21	21
NBC_00259	CP108080	18	18
NBC_00261	CP108079	12	12
NBC_00267	CP108076	13	13
NBC_00267	CP108078	119	120
NBC_00269	CP108075	rejected	rejected
NBC_00270	CP108073	11	11
NBC_00270	CP108074	12	12
NBC_00271	CP108070	rejected	rejected
NBC_00271	CP108071	rejected	68
NBC_00271	CP108072	rejected	rejected
NBC_00272	CP108068	11	11
NBC_00272	CP108069	12	119
NBC_00273	CP108067	11	11
NBC_00277	CP108065	11	11
NBC_00277	CP108066	rejected	rejected
NBC_00278	CP108062	12	12
NBC_00278	CP108063	12	12
NBC_00278	CP108064	11	11
NBC_00280	CP108059	10	rejected
NBC_00280	CP108060	rejected	rejected
NBC_00280	CP108061	13	12
NBC_00283	CP108057	rejected	rejected
NBC_00283	CP108058	12	rejected
NBC_00285	CP108055	12	12
NBC_00286	CP108054	11	11
NBC_00287	CP108053	rejected	rejected
NBC_00288	CP108052	120	120
NBC_00289	CP108046	2	1
NBC_00289	CP108047	14	13
NBC_00289	CP108048	13	14
NBC_00289	CP108049	12	12
NBC_00289	CP108050	13	12
NBC_00289	CP108051	113	104
NBC_00293	CP108342	11	11
NBC_00299	CP108039	12	12
NBC_00299	CP108040	12	12
NBC_00302	CP108038	12	11
NBC_00303	CP108036	11	11
NBC_00304	CP108033	rejected	12
NBC_00304	CP108034	11	11
NBC_00304	CP108035	11	11
NBC_00306	CP108032	12	12
NBC_00310	CP130714	11	11
NBC_00311	CP108030	13	13
NBC_00314	CP108029	11	11
NBC_00316	CP108023	12	12
NBC_00316	CP108024	12	11
NBC_00322	CP108019	12	12
NBC_00324	CP108016	12	12
NBC_00324	CP108017	12	11
NBC_00324	CP108018	12	12
NBC_00328	CP108013	13	13
NBC_00333	CP108011	22	22
NBC_00334	CP108008	12	rejected
NBC_00334	CP108009	rejected	15
NBC_00335	CP108006	rejected	12
NBC_00335	CP108007	rejected	12
NBC_00337	CP108005	11	11
NBC_00342	CP107999	11	12
NBC_00342	CP108000	11	12
NBC_00342	CP108001	11	12
NBC_00343	CP107998	11	11
NBC_00344	CP107996	12	12
NBC_00344	CP107997	12	11
NBC_00349	CP107989	11	11
NBC_00349	CP107990	11	11
NBC_00349	CP107991	11	120
NBC_00349	CP107993	115	11
NBC_00350	CP107986	11	11
NBC_00350	CP107987	11	11
NBC_00353	CP107985	13	12
NBC_00354	CP107983	12	119
NBC_00354	CP107984	12	rejected
NBC_00356	CP107981	6	6
NBC_00357	CP107977	120	120
NBC_00357	CP107978	12	12
NBC_00358	CP107976	18	12
NBC_00363	CP107972	12	12
NBC_00366	CP107971	117	13
NBC_00370	CP107968	13	13
NBC_00371	CP107967	11	11
NBC_00375	CP107963	rejected	11
NBC_00376	CP107960	14	112
NBC_00376	CP107961	14	14
NBC_00376	CP107962	13	65
NBC_00377	CP107958	12	12
NBC_00379	CP107957	11	11
NBC_00381	CP107955	rejected	14
NBC_00383	CP107952	14	14
NBC_00386	CP107950	12	12
NBC_00388	CP107948	16	97
NBC_00388	CP107949	11	11
NBC_00390	CP107945	12	12
NBC_00391	CP107944	29	rejected
NBC_00400	CP107940	11	11
NBC_00414	CP107935	11	11
NBC_00415	CP107933	22	22
NBC_00425	CP107928	11	11
NBC_00433	CP107926	11	11
NBC_00435	CP107924	103	107
NBC_00435	CP107925	2	89
NBC_00440	CP107921	12	12
NBC_00440	CP107922	11	12
NBC_00441	CP107919	rejected	rejected
NBC_00441	CP107920	67	rejected
NBC_00442	CP107918	21	21
NBC_00443	CP107917	rejected	91
NBC_00444	CP107916	11	11
NBC_00445	CP107914	12	12
NBC_00445	CP107915	12	rejected
NBC_00448	CP107913	24	rejected
NBC_00450	CP107911	11	11
NBC_00453	CP107910	13	13
NBC_00454	CP107907	118	118
NBC_00454	CP107909	120	107
NBC_00455	CP109337	rejected	rejected
NBC_00455	CP109338	12	12
NBC_00456	CP107906	12	12
NBC_00457	CP107905	12	12
NBC_00459	CP107903	11	11
NBC_00461	CP107902	rejected	rejected
NBC_00464	CP107899	rejected	5
NBC_00464	CP107900	11	5
NBC_00464	CP107901	12	rejected
NBC_00466	CP107896	115	rejected
NBC_00466	CP107897	113	112
NBC_00466	CP107898	118	115
NBC_00467	CP107894	12	11
NBC_00467	CP107895	rejected	12
NBC_00470	CP107889	13	13
NBC_00470	CP107890	12	rejected
NBC_00470	CP107891	15	rejected
NBC_00471	CP107887	14	14
NBC_00471	CP107888	14	14
NBC_00472	CP107885	16	16
NBC_00475	CP107884	21	21
NBC_00478	CP108343	12	12
NBC_00480	CP107883	14	14
NBC_00483	CP107880	12	12
NBC_00484	CP107879	rejected	rejected
NBC_00485	CP107878	15	15
NBC_00487	CP107877	11	11
NBC_00488	CP107871	rejected	12
NBC_00488	CP107872	30	17
NBC_00488	CP107873	rejected	14
NBC_00488	CP107875	rejected	20
NBC_00488	CP107876	15	16
NBC_00489	CP108330	rejected	rejected
NBC_00490	CP107869	74	12
NBC_00490	CP107870	105	74
NBC_00493	CP107867	rejected	rejected
NBC_00493	CP107868	10	rejected
NBC_00494	CP107866	11	11
NBC_00496	CP107865	11	11
NBC_00497	CP107863	14	14
NBC_00497	CP107864	16	14
NBC_00498	CP107862	11	11
NBC_00499	CP107861	12	12
NBC_00500	CP107860	33	33
NBC_00501	CP107858	13	12
NBC_00501	CP107859	rejected	16
NBC_00502	CP107857	22	22
NBC_00503	CP107855	76	rejected
NBC_00503	CP107856	76	49
NBC_00504	CP108329	13	13
NBC_00510	CP107851	13	13
NBC_00513	CP107845	11	11
NBC_00513	CP107846	16	16
NBC_00513	CP107847	11	12
NBC_00514	CP107844	11	11
NBC_00515	CP107841	11	11
NBC_00519	CP107839	14	14
NBC_00520	CP107838	20	20
NBC_00521	CP108326	13	14
NBC_00522	CP108325	rejected	rejected
NBC_00523	CP107836	11	12
NBC_00523	CP107837	12	11
NBC_00525	CP107834	134	24
NBC_00525	CP107835	rejected	22
NBC_00535	CP107823	13	12
NBC_00535	CP107824	13	12
NBC_00536	CP107819	11	11
NBC_00536	CP107820	12	54
NBC_00538	CP107813	15	15
NBC_00538	CP107814	15	15
NBC_00538	CP107815	24	24
NBC_00538	CP107816	rejected	rejected
NBC_00539	CP107811	12	12
NBC_00539	CP107812	12	12
NBC_00541	CP107809	12	12
NBC_00554	CP107799	rejected	40
NBC_00554	CP107800	16	112
NBC_00556	CP107798	12	13
NBC_00557	CP107796	rejected	rejected
NBC_00557	CP107797	rejected	12
NBC_00558	CP107793	12	12
NBC_00558	CP107794	12	12
NBC_00558	CP107795	12	12
NBC_00562	CP107791	11	11
NBC_00564	CP107786	119	78
NBC_00564	CP107787	105	22
NBC_00564	CP107788	100	116
NBC_00564	CP107789	108	119
NBC_00564	CP107790	111	112
NBC_00566	CP107784	11	11
NBC_00569	CP107783	13	13
NBC_00573	CP107782	15	15
NBC_00576	CP107780	29	29
NBC_00582	CP107772	12	rejected
NBC_00582	CP107773	14	14
NBC_00586	CP107768	11	11
NBC_00587	CP107766	11	12
NBC_00588	CP107765	rejected	rejected
NBC_00589	CP107764	12	117
NBC_00590	CP107762	12	118
NBC_00590	CP107763	14	rejected
NBC_00591	CP107761	rejected	rejected
NBC_00594	CP107760	15	15
NBC_00595	CP108324	14	16
NBC_00597	CP107758	rejected	20
NBC_00597	CP107759	118	120
NBC_00598	CP107755	12	12
NBC_00616	CP108323	12	12
NBC_00618	CP107750	13	13
NBC_00622	CP107749	11	13
NBC_00623	CP107748	13	13
NBC_00624	CP107746	12	rejected
NBC_00624	CP107747	rejected	11
NBC_00625	CP107742	20	20
NBC_00626	CP107741	13	13
NBC_00630	CP107735	20	20
NBC_00630	CP107736	20	20
NBC_00630	CP107737	35	30
NBC_00630	CP107738	42	42
NBC_00630	CP107739	rejected	rejected
NBC_00631	CP107734	14	14
NBC_00632	CP107733	12	12
NBC_00633	CP107731	13	13
NBC_00633	CP107732	13	14
NBC_00634	CP107730	11	112
NBC_00635	CP130731	14	14
NBC_00636	CP109050	12	12
NBC_00637	CP109046	25	25
NBC_00637	CP109047	24	24
NBC_00637	CP109048	64	22
NBC_00637	CP109049	96	94
NBC_00641	CP109044	12	12
NBC_00641	CP109045	13	13
NBC_00642	CP130729	15	15
NBC_00643	CP130728	13	13
NBC_00645	CP109041	13	13
NBC_00647	CP109040	14	14
NBC_00648	CP109038	15	rejected
NBC_00648	CP109039	15	15
NBC_00649	CP109037	13	13
NBC_00651	CP109034	17	17
NBC_00651	CP109035	62	60
NBC_00656	CP109033	11	11
NBC_00658	CP109032	120	120
NBC_00659	CP109031	13	13
NBC_00661	CP109030	12	11
NBC_00663	CP109027	14	14
NBC_00663	CP109028	16	14
NBC_00664	CP109025	11	rejected
NBC_00664	CP109026	11	120
NBC_00666	CP109024	13	11
NBC_00667	CP109022	12	11
NBC_00667	CP109023	11	12
NBC_00668	CP109019	rejected	13
NBC_00668	CP109020	rejected	rejected
NBC_00669	CP109018	11	120
NBC_00670	CP109017	11	116
NBC_00683	CP109013	rejected	rejected
NBC_00685	CP109012	rejected	rejected
NBC_00686	CP109011	12	12
NBC_00690	CP109009	11	13
NBC_00690	CP109010	11	12
NBC_00691	CP109007	20	20
NBC_00691	CP109008	114	61
NBC_00696	CP109004	15	15
NBC_00701	CP109003	21	21
NBC_00704	CP109000	120	13
NBC_00704	CP109001	120	12
NBC_00704	CP109002	119	14
NBC_00708	CP108997	13	15
NBC_00708	CP108998	13	13
NBC_00708	CP108999	rejected	rejected
NBC_00710	CP108995	13	13
NBC_00711	CP108994	rejected	21
NBC_00712	CP108993	rejected	rejected
NBC_00713	CP108992	13	13
NBC_00715	CP108990	11	11
NBC_00715	CP108991	11	11
NBC_00722	CP108989	11	11
NBC_00723	CP108987	22	22
NBC_00723	CP108988	21	12
NBC_00724	CP108985	12	12
NBC_00724	CP108986	15	15
NBC_00726	CP108983	13	13
NBC_00726	CP108984	15	14
NBC_00727	CP108981	16	18
NBC_00727	CP108982	18	18
NBC_00728	CP108980	16	12
NBC_00731	CP108978	12	12
NBC_00734	CP108974	16	16
NBC_00735	CP108971	12	12
NBC_00775	CP108938	14	14
NBC_00805	CP108895	11	11
NBC_00820	CP108882	11	11
NBC_00822	CP108878	81	15
NBC_00822	CP108879	13	14
NBC_00825	CP108876	119	14
NBC_00825	CP108877	14	14
NBC_00826	CP108873	14	11
NBC_00826	CP108874	13	13
NBC_00826	CP108875	13	13
NBC_00827	CP108872	27	19
NBC_00828	CP130727	rejected	4
NBC_00829	CP108867	23	23
NBC_00829	CP108868	29	117
NBC_00829	CP108869	115	30
NBC_00831	CP108864	15	15
NBC_00831	CP108865	rejected	rejected
NBC_00832	CP108863	12	12
NBC_00835	CP108861	11	11
NBC_00835	CP108862	11	14
NBC_00836	CP108858	14	14
NBC_00836	CP108859	103	103
NBC_00836	CP108860	28	21
NBC_00838	CP108857	12	12
NBC_00839	CP108856	53	53
NBC_00842	CP108850	11	11
NBC_00843	CP108849	23	rejected
NBC_00846	CP108846	rejected	12
NBC_00846	CP108847	12	12
NBC_00851	CP108840	117	117
NBC_00851	CP108841	14	124
NBC_00851	CP108842	119	120
NBC_00853	CP108837	rejected	102
NBC_00853	CP108838	119	88
NBC_00853	CP108839	24	25
NBC_00856	CP108832	13	13
NBC_00857	CP108829	11	11
NBC_00857	CP108830	13	12
NBC_00857	CP108831	11	rejected
NBC_00859	CP108826	12	12
NBC_00865	CP108820	14	11
NBC_00865	CP108821	11	11
NBC_00866	CP108818	82	82
NBC_00866	CP108819	12	rejected
NBC_00867	CP108817	16	8
NBC_00868	CP108814	rejected	rejected
NBC_00868	CP108815	73	20
NBC_00868	CP108816	19	21
NBC_00869	CP108812	11	11
NBC_00869	CP108813	13	11
NBC_00870	CP108810	rejected	rejected
NBC_00870	CP108811	19	20
NBC_00871	CP108808	12	12
NBC_00872	CP108806	22	22
NBC_00872	CP108807	34	25
NBC_00873	CP108803	12	12
NBC_00876	CP108800	19	14
NBC_00876	CP108801	14	rejected
NBC_00879	CP108799	12	12
NBC_00882	CP108797	11	11
NBC_00885	CP108796	12	120
NBC_00886	CP108792	19	19
NBC_00886	CP108793	146	114
NBC_00886	CP108795	120	rejected
NBC_00887	CP108788	16	16
NBC_00887	CP108789	12	11
NBC_00887	CP108790	rejected	11
NBC_00887	CP108791	120	119
NBC_00890	CP108781	rejected	rejected
NBC_00890	CP108782	rejected	rejected
NBC_00891	CP108779	11	11
NBC_00891	CP108780	12	14
NBC_00899	CP108773	11	11
NBC_00899	CP108774	116	100
NBC_00909	CP108768	rejected	19
NBC_00909	CP108769	21	13
NBC_00909	CP108770	12	21
NBC_00909	CP108771	rejected	rejected
NBC_00909	CP108772	12	12
NBC_00932	CP108765	16	16
NBC_00963	CP108745	11	11
NBC_00963	CP108746	12	12
NBC_00972	CP108743	22	22
NBC_00974	CP108741	113	113
NBC_00975	CP108737	118	19
NBC_00975	CP108739	21	23
NBC_00975	CP108740	100	rejected
NBC_00984	CP108734	21	21
NBC_00984	CP108735	21	21
NBC_00984	CP108736	21	21
NBC_00986	CP108733	11	11
NBC_00987	CP108731	13	13
NBC_00987	CP108732	13	13
NBC_00988	CP108730	96	24
NBC_00989	CP108728	11	11
NBC_00989	CP108729	29	12
NBC_00990	CP108726	9	9
NBC_00995	CP108724	29	26
NBC_00995	CP108725	119	119
NBC_00996	CP108723	22	22
NBC_00998	CP108720	20	108
NBC_00998	CP108721	118	20
NBC_00998	CP108722	rejected	106
NBC_00999	CP108718	11	12
NBC_00999	CP108719	13	13
NBC_01001	CP108711	142	104
NBC_01001	CP108712	109	93
NBC_01001	CP108713	111	94
NBC_01001	CP108714	rejected	rejected
NBC_01001	CP108715	119	117
NBC_01001	CP108716	107	10
NBC_01001	CP108717	113	121
NBC_01002	CP108709	21	21
NBC_01002	CP108710	21	15
NBC_01003	CP108707	9	9
NBC_01003	CP108708	7	6
NBC_01004	CP109059	22	22
NBC_01004	CP109060	21	22
NBC_01005	CP108703	17	17
NBC_01005	CP108704	17	16
NBC_01006	CP108700	18	18
NBC_01006	CP108701	18	18
NBC_01006	CP108702	12	12
NBC_01010	CP108692	25	7
NBC_01010	CP108693	24	30
NBC_01010	CP108694	29	30
NBC_01011	CP108690	97	115
NBC_01011	CP108691	15	119
NBC_01012	CP108688	12	12
NBC_01013	CP108687	13	13
NBC_01014	CP108685	25	25
NBC_01014	CP108686	21	7
NBC_01015	CP108684	31	29
NBC_01017	CP108683	12	12
NBC_01018	CP108682	52	52
NBC_01020	CP108681	15	15
NBC_01021	CP108676	25	25
NBC_01023	CP108671	rejected	rejected
NBC_01023	CP108672	20	20
NBC_01023	CP108673	121	121
NBC_01069	CP108670	12	12
NBC_01077	CP108669	84	84
NBC_01078	CP108664	11	12
NBC_01078	CP108665	20	11
NBC_01078	CP108666	8	8
NBC_01078	CP108667	12	11
NBC_01078	CP108668	13	12
NBC_01080	CP108661	12	12
NBC_01080	CP108662	13	12
NBC_01089	CP108660	11	11
NBC_01092	CP108659	13	13
NBC_01102	CP108654	14	14
NBC_01102	CP108655	12	12
NBC_01102	CP108657	13	13
NBC_01103	CP108653	6	6
NBC_01104	CP108652	116	110
NBC_01106	CP108651	11	16
NBC_01108	CP108649	120	120
NBC_01110	CP108647	rejected	24
NBC_01116	CP108644	121	119
NBC_01116	CP108645	121	24
NBC_01124	CP108643	21	21
NBC_01127	CP108642	rejected	rejected
NBC_01134	CP108640	11	11
NBC_01134	CP108641	10	rejected
NBC_01135	CP108638	15	rejected
NBC_01135	CP108639	23	28
NBC_01136	CP108632	rejected	rejected
NBC_01136	CP108633	12	12
NBC_01136	CP108634	13	18
NBC_01136	CP108635	11	11
NBC_01137	CP108627	rejected	rejected
NBC_01137	CP108628	22	22
NBC_01137	CP108630	15	12
NBC_01139	CP108625	rejected	rejected
NBC_01147	CP108621	22	22
NBC_01147	CP108623	19	rejected
NBC_01157	CP108616	13	13
NBC_01157	CP108617	14	15
NBC_01157	CP108618	13	12
NBC_01157	CP108619	13	12
NBC_01157	CP108620	3	rejected
NBC_01166	CP108613	111	111
NBC_01166	CP108614	12	12
NBC_01167	CP108612	rejected	12
NBC_01168	CP108611	11	11
NBC_01170	CP108610	12	14
NBC_01171	CP108609	11	11
NBC_01174	CP108605	11	11
NBC_01174	CP108606	rejected	rejected
NBC_01174	CP108608	rejected	rejected
NBC_01175	CP108602	12	12
NBC_01176	CP108600	13	13
NBC_01176	CP108601	12	26
NBC_01177	CP108595	119	120
NBC_01177	CP108598	119	144
NBC_01177	CP108599	119	120
NBC_01178	CP108592	13	13
NBC_01178	CP108593	rejected	13
NBC_01178	CP108594	11	rejected
NBC_01180	CP108591	14	113
NBC_01183	CP108589	7	7
NBC_01184	CP108588	12	12
NBC_01185	CP108587	13	13
NBC_01186	CP108585	rejected	rejected
NBC_01186	CP108586	14	13
NBC_01187	CP108582	rejected	13
NBC_01187	CP108583	12	12
NBC_01190	CP108580	116	15
NBC_01191	CP108577	13	13
NBC_01191	CP108578	111	15
NBC_01191	CP108579	68	113
NBC_01194	CP108575	12	12
NBC_01194	CP108576	13	13
NBC_01195	CP108573	15	15
NBC_01196	CP108571	13	12
NBC_01197	CP108569	rejected	rejected
NBC_01198	CP108568	12	12
NBC_01201	CP108565	12	120
NBC_01201	CP108566	11	7
NBC_01205	CP108558	15	12
NBC_01205	CP108560	119	16
NBC_01207	CP108554	65	65
NBC_01207	CP108555	rejected	14
NBC_01208	CP108551	103	rejected
NBC_01208	CP108553	120	rejected
NBC_01210	CP108549	13	13
NBC_01210	CP108550	14	13
NBC_01211	CP108546	12	11
NBC_01211	CP108547	11	12
NBC_01211	CP108548	12	11
NBC_01212	CP108545	rejected	rejected
NBC_01213	CP108541	4	rejected
NBC_01213	CP108543	13	14
NBC_01213	CP108544	rejected	67
NBC_01215	CP108540	11	11
NBC_01216	CP108677	12	11
NBC_01216	CP108678	13	12
NBC_01216	CP108679	11	rejected
NBC_01216	CP108680	11	11
NBC_01217	CP108538	11	11
NBC_01217	CP108539	rejected	13
NBC_01218	CP108536	12	12
NBC_01218	CP108537	14	14
NBC_01220	CP108531	120	12
NBC_01220	CP108532	13	12
NBC_01220	CP108534	138	113
NBC_01224	CP108529	98	98
NBC_01224	CP108530	98	98
NBC_01228	CP108524	11	11
NBC_01228	CP108525	13	13
NBC_01228	CP108526	13	15
NBC_01230	CP108522	12	12
NBC_01230	CP108523	12	11
NBC_01231	CP108521	rejected	81
NBC_01232	CP108518	13	13
NBC_01232	CP108519	rejected	117
NBC_01232	CP108520	14	12
NBC_01233	CP108514	11	11
NBC_01233	CP108515	rejected	11
NBC_01233	CP108517	117	83
NBC_01235	CP108513	13	13
NBC_01236	CP108512	17	24
NBC_01238	CP130722	13	13
NBC_01238	CP130723	11	13
NBC_01240	CP108497	14	14
NBC_01240	CP108499	12	11
NBC_01241	CP108494	1	49
NBC_01241	CP108495	120	115
NBC_01243	CP108491	14	rejected
NBC_01243	CP108492	13	14
NBC_01243	CP108493	12	12
NBC_01244	CP108488	14	11
NBC_01244	CP108489	rejected	72
NBC_01248	CP108477	12	12
NBC_01248	CP108478	120	12
NBC_01248	CP108479	103	129
NBC_01248	CP108480	111	102
NBC_01248	CP108481	118	118
NBC_01255	CP108474	11	rejected
NBC_01255	CP108475	11	11
NBC_01256	CP108473	12	12
NBC_01259	CP108467	21	12
NBC_01259	CP108468	12	rejected
NBC_01259	CP108471	rejected	12
NBC_01260	CP108464	12	12
NBC_01260	CP108465	12	12
NBC_01260	CP108466	13	16
NBC_01261	CP108463	14	14
NBC_01262	CP108462	11	11
NBC_01267	CP108455	12	12
NBC_01267	CP108456	11	12
NBC_01267	CP108457	13	11
NBC_01268	CP108454	6	6
NBC_01269	CP108452	14	14
NBC_01269	CP108453	11	12
NBC_01270	CP108451	16	14
NBC_01271	CP108450	15	15
NBC_01274	CP108447	16	16
NBC_01276	CP108442	rejected	14
NBC_01276	CP108443	15	19
NBC_01276	CP108444	rejected	38
NBC_01276	CP108445	14	13
NBC_01276	CP108446	11	11
NBC_01278	CP108439	11	rejected
NBC_01278	CP108440	rejected	rejected
NBC_01280	CP108438	rejected	10
NBC_01281	CP108435	13	13
NBC_01281	CP108436	12	12
NBC_01281	CP108437	rejected	rejected
NBC_01283	CP108430	15	15
NBC_01283	CP108431	38	74
NBC_01283	CP108432	110	117
NBC_01283	CP108433	114	106
NBC_01283	CP108434	108	111
NBC_01288	CP108427	12	12
NBC_01295	CP108422	17	17
NBC_01296	CP130720	16	16
NBC_01296	CP130721	rejected	16
NBC_01297	CP108419	11	11
NBC_01298	CP108414	rejected	62
NBC_01298	CP108416	18	18
NBC_01298	CP108417	12	100
NBC_01299	CP108413	11	11
NBC_01304	CP109055	22	22
NBC_01304	CP109056	13	13
NBC_01304	CP109057	12	12
NBC_01310	CP108396	rejected	rejected
NBC_01310	CP108399	11	11
NBC_01317	CP108393	13	13
NBC_01318	CP108392	12	12
NBC_01320	CP108390	18	14
NBC_01320	CP108391	100	16
NBC_01321	CP108388	119	13
NBC_01324	CP108385	104	116
NBC_01324	CP108386	13	12
NBC_01324	CP108387	119	113
