contig_name	strain_name	taxon	rep_type
CP108295	['NBC_00027']	['Streptomyces melanogenes']	chromosome
CP108296	['NBC_00027']	['Streptomyces melanogenes']	plasmid
CP108297	['NBC_00027']	['Streptomyces melanogenes']	extrachromosomal
CP108293	['NBC_00028']	['Streptomyces sp. NBC 00028']	chromosome
CP108294	['NBC_00028']	['Streptomyces sp. NBC 00028']	plasmid
CP108292	['NBC_00029']	['Streptomyces sp. NBC_00029']	chromosome
CP108291	['NBC_00035']	['Streptomyces sp. NBC_00035']	chromosome
CP108289	['NBC_00039']	['Kitasatospora sp. NBC_00039']	chromosome
CP108290	['NBC_00039']	['Kitasatospora sp. NBC_00039']	plasmid
CP108287	['NBC_00040']	['Streptomyces sp. NBC_00040']	chromosome
CP108288	['NBC_00040']	['Streptomyces sp. NBC_00040']	plasmid
CP108283	['NBC_00041']	['Streptomyces atratus']	chromosome
CP108284	['NBC_00041']	['Streptomyces atratus']	plasmid
CP108285	['NBC_00041']	['Streptomyces atratus']	plasmid
CP108286	['NBC_00041']	['Streptomyces atratus']	extrachromosomal
CP108281	['NBC_00042']	['[Kitasatospora] papulosa']	chromosome
CP108282	['NBC_00042']	['[Kitasatospora] papulosa']	plasmid
CP108276	['NBC_00043']	['Streptomyces atratus']	chromosome
CP108277	['NBC_00043']	['Streptomyces atratus']	plasmid
CP108278	['NBC_00043']	['Streptomyces atratus']	plasmid
CP108279	['NBC_00043']	['Streptomyces atratus']	plasmid
CP108280	['NBC_00043']	['Streptomyces atratus']	extrachromosomal
CP108273	['NBC_00044']	['Streptomyces zaomyceticus']	chromosome
CP108274	['NBC_00044']	['Streptomyces zaomyceticus']	plasmid
CP108275	['NBC_00044']	['Streptomyces zaomyceticus']	plasmid
CP108271	['NBC_00045']	['Streptomyces sp. NBC 00045']	chromosome
CP108272	['NBC_00045']	['Streptomyces sp. NBC 00045']	plasmid
CP108268	['NBC_00046']	['Streptomyces sp. NBC 00046']	chromosome
CP108269	['NBC_00046']	['Streptomyces sp. NBC 00046']	plasmid
CP108270	['NBC_00046']	['Streptomyces sp. NBC 00046']	plasmid
CP108266	['NBC_00048']	['Streptomyces sp. NBC 00048']	chromosome
CP108267	['NBC_00048']	['Streptomyces sp. NBC 00048']	plasmid
CP108264	['NBC_00049']	['Streptomyces sp. NBC_00049']	chromosome
CP108265	['NBC_00049']	['Streptomyces sp. NBC_00049']	extrachromosomal
CP108261	['NBC_00053']	['Streptomyces sp. NBC 00053']	chromosome
CP108262	['NBC_00053']	['Streptomyces sp. NBC 00053']	plasmid
CP108263	['NBC_00053']	['Streptomyces sp. NBC 00053']	plasmid
CP108259	['NBC_00055']	['Streptomyces sp. NBC 00055']	chromosome
CP108260	['NBC_00055']	['Streptomyces sp. NBC 00055']	plasmid
CP108258	['NBC_00056']	['Streptomyces sp. NBC 00056']	chromosome
CP108256	['NBC_00057']	['Streptomyces sp. NBC 00057']	chromosome
CP108257	['NBC_00057']	['Streptomyces sp. NBC 00057']	plasmid
CP108253	['NBC_00060']	['Streptomyces sp. NBC 00060']	chromosome
CP108254	['NBC_00060']	['Streptomyces sp. NBC 00060']	plasmid
CP108255	['NBC_00060']	['Streptomyces sp. NBC 00060']	extrachromosomal
CP108252	['NBC_00061']	['Kitasatospora purpeofusca']	chromosome
CP108249	['NBC_00069']	['Streptomyces sp. NBC 00069']	chromosome
CP108250	['NBC_00069']	['Streptomyces sp. NBC 00069']	plasmid
CP108251	['NBC_00069']	['Streptomyces sp. NBC 00069']	plasmid
CP108247	['NBC_00070']	['Kitasatospora sp. NBC 00070']	chromosome
CP108248	['NBC_00070']	['Kitasatospora sp. NBC 00070']	plasmid
CP108244	['NBC_00073']	['Streptomyces sp. NBC 00073']	chromosome
CP108245	['NBC_00073']	['Streptomyces sp. NBC 00073']	plasmid
CP108246	['NBC_00073']	['Streptomyces sp. NBC 00073']	plasmid
CP108243	['NBC_00075']	['Streptomyces sp. NBC 00075']	chromosome
CP108242	['NBC_00076']	['Streptomyces sp. NBC 00076']	chromosome
CP108238	['NBC_00077']	['Streptomyces exfoliatus']	chromosome
CP108239	['NBC_00077']	['Streptomyces exfoliatus']	plasmid
CP108240	['NBC_00077']	['Streptomyces exfoliatus']	extrachromosomal
CP108241	['NBC_00077']	['Streptomyces exfoliatus']	extrachromosomal
CP108237	['NBC_00079']	['Streptomyces sp. NBC 00079']	chromosome
CP108235	['NBC_00080']	['Streptomyces sp. NBC 00080']	chromosome
CP108236	['NBC_00080']	['Streptomyces sp. NBC 00080']	plasmid
CP108234	['NBC_00081']	['Streptomyces sp. NBC 00081']	chromosome
CP108233	['NBC_00082']	['[Kitasatospora] papulosa']	chromosome
CP108230	['NBC_00084']	['Streptomyces zaomyceticus']	chromosome
CP108231	['NBC_00084']	['Streptomyces zaomyceticus']	plasmid
CP108232	['NBC_00084']	['Streptomyces zaomyceticus']	plasmid
CP108229	['NBC_00085']	['Kitasatospora sp. NBC_00085']	chromosome
CP108227	['NBC_00087']	['Streptomyces canus']	chromosome
CP108228	['NBC_00087']	['Streptomyces canus']	plasmid
CP108225	['NBC_00088']	['Streptomyces zaomyceticus']	chromosome
CP108226	['NBC_00088']	['Streptomyces zaomyceticus']	plasmid
CP108224	['NBC_00090']	['Streptomyces sp. NBC_00090']	chromosome
CP108222	['NBC_00093']	['Streptomyces sp. NBC 00093']	chromosome
CP108223	['NBC_00093']	['Streptomyces sp. NBC 00093']	extrachromosomal
CP108221	['NBC_00096']	['Streptomyces sp. NBC 00096']	chromosome
CP108218	['NBC_00099']	['Streptomyces coelicoflavus']	chromosome
CP108219	['NBC_00099']	['Streptomyces coelicoflavus']	plasmid
CP108220	['NBC_00099']	['Streptomyces coelicoflavus']	plasmid
CP108217	['NBC_00101']	['Streptomyces sp. NBC 00101']	chromosome
CP108215	['NBC_00104']	['Streptomyces sp. NBC_00104']	chromosome
CP108216	['NBC_00104']	['Streptomyces sp. NBC_00104']	plasmid
CP108213	['NBC_00105']	['Streptomyces sp. NBC_00105']	chromosome
CP108214	['NBC_00105']	['Streptomyces sp. NBC_00105']	plasmid
CP108208	['NBC_00106']	['Kitasatospora indigofera']	chromosome
CP108209	['NBC_00106']	['Kitasatospora indigofera']	plasmid
CP108210	['NBC_00106']	['Kitasatospora indigofera']	plasmid
CP108211	['NBC_00106']	['Kitasatospora indigofera']	extrachromosomal
CP108212	['NBC_00106']	['Kitasatospora indigofera']	extrachromosomal
CP108207	['NBC_00107']	['Streptomyces anulatus']	chromosome
CP108206	['NBC_00110']	['Streptomyces sp. NBC 00110']	chromosome
CP108203	['NBC_00111']	['Streptomyces sp. NBC 00111']	chromosome
CP108204	['NBC_00111']	['Streptomyces sp. NBC 00111']	plasmid
CP108205	['NBC_00111']	['Streptomyces sp. NBC 00111']	plasmid
CP108202	['NBC_00112']	['Micrococcus luteus']	chromosome
CP108201	['NBC_00114']	['Streptomyces sp. NBC 00114']	chromosome
CP108200	['NBC_00116']	['Streptomyces anthocyanicus']	chromosome
CP108199	['NBC_00117']	['Streptomyces sp. NBC 00117']	chromosome
CP108198	['NBC_00118']	['Streptomyces sp. NBC 00118']	chromosome
CP108195	['NBC_00119']	['Streptomyces sp. NBC 00119']	chromosome
CP108196	['NBC_00119']	['Streptomyces sp. NBC 00119']	extrachromosomal
CP108197	['NBC_00119']	['Streptomyces sp. NBC 00119']	extrachromosomal
CP108194	['NBC_00121']	['Streptomyces sp. NBC 00121']	chromosome
CP108191	['NBC_00122']	['Streptomyces sp. NBC_00122']	chromosome
CP108192	['NBC_00122']	['Streptomyces sp. NBC_00122']	plasmid
CP108193	['NBC_00122']	['Streptomyces sp. NBC_00122']	plasmid
CP108188	['NBC_00123']	['Streptomyces zaomyceticus']	chromosome
CP108189	['NBC_00123']	['Streptomyces zaomyceticus']	plasmid
CP108190	['NBC_00123']	['Streptomyces zaomyceticus']	plasmid
CP108184	['NBC_00125']	['Streptomyces virginiae']	chromosome
CP108185	['NBC_00125']	['Streptomyces virginiae']	plasmid
CP108186	['NBC_00125']	['Streptomyces virginiae']	plasmid
CP108187	['NBC_00125']	['Streptomyces virginiae']	plasmid
CP108334	['NBC_00131']	['Streptomyces virginiae']	chromosome
CP108335	['NBC_00131']	['Streptomyces virginiae']	plasmid
CP108336	['NBC_00131']	['Streptomyces virginiae']	extrachromosomal
CP108337	['NBC_00131']	['Streptomyces virginiae']	plasmid
CP108338	['NBC_00131']	['Streptomyces virginiae']	extrachromosomal
CP108183	['NBC_00133']	['Streptomyces sp. NBC_00133']	chromosome
CP108181	['NBC_00134']	['Streptomyces sp. NBC 00134']	chromosome
CP108182	['NBC_00134']	['Streptomyces sp. NBC 00134']	plasmid
CP108179	['NBC_00135']	['Streptomyces canus']	chromosome
CP108180	['NBC_00135']	['Streptomyces canus']	plasmid
CP108177	['NBC_00138']	['Streptomyces sp. NBC_00138']	chromosome
CP108178	['NBC_00138']	['Streptomyces sp. NBC_00138']	plasmid
CP108175	['NBC_00144']	['Streptomyces sp. NBC 00144']	chromosome
CP108176	['NBC_00144']	['Streptomyces sp. NBC 00144']	plasmid
CP108174	['NBC_00145']	['Streptomyces sp. NBC 00145']	chromosome
CP108172	['NBC_00147']	['Streptomyces sp. NBC 00147']	chromosome
CP108173	['NBC_00147']	['Streptomyces sp. NBC 00147']	plasmid
CP108169	['NBC_00148']	['Streptomyces sp. NBC_00148']	chromosome
CP108170	['NBC_00148']	['Streptomyces sp. NBC_00148']	plasmid
CP108171	['NBC_00148']	['Streptomyces sp. NBC_00148']	extrachromosomal
CP130716	['NBC_00150']	['Streptomyces sp. NBC_00150']	chromosome
CP130717	['NBC_00150']	['Streptomyces sp. NBC_00150']	plasmid
CP108166	['NBC 00150']	['Streptomyces sp. NBC 00150']	chromosome
CP108167	['NBC 00150']	['Streptomyces sp. NBC 00150']	plasmid
CP108168	['NBC 00150']	['Streptomyces sp. NBC 00150']	extrachromosomal
CP108165	['NBC_00151']	['Streptomyces sp. NBC 00151']	chromosome
CP108164	['NBC_00156']	['Streptomyces achromogenes']	chromosome
CP108161	['NBC_00158']	['Streptomyces sp. NBC_00158']	chromosome
CP108162	['NBC_00158']	['Streptomyces sp. NBC_00158']	plasmid
CP108163	['NBC_00158']	['Streptomyces sp. NBC_00158']	plasmid
CP108156	['NBC_00161']	['Streptomyces sp. NBC 00161']	chromosome
CP108157	['NBC_00161']	['Streptomyces sp. NBC 00161']	plasmid
CP108158	['NBC_00161']	['Streptomyces sp. NBC 00161']	plasmid
CP108159	['NBC_00161']	['Streptomyces sp. NBC 00161']	plasmid
CP108160	['NBC_00161']	['Streptomyces sp. NBC 00161']	plasmid
CP108155	['NBC_00163']	['Nocardioides sp. NBC 00163']	chromosome
CP108153	['NBC 00164']	['Streptomyces virginiae']	chromosome
CP108154	['NBC 00164']	['Streptomyces virginiae']	extrachromosomal
CP108152	['NBC_00165']	['Streptomyces glauciniger']	chromosome
CP108148	['NBC_00168']	['Streptomyces virginiae']	chromosome
CP108149	['NBC_00168']	['Streptomyces virginiae']	plasmid
CP108150	['NBC_00168']	['Streptomyces virginiae']	plasmid
CP108151	['NBC_00168']	['Streptomyces virginiae']	plasmid
CP108147	['NBC_00169']	['Streptomyces sp. NBC_00169']	chromosome
CP108146	['NBC_00171']	['Streptomyces anulatus']	chromosome
CP108145	['NBC_00172']	['Streptomyces sp. NBC_00172']	chromosome
CP108143	['NBC_00178']	['Streptomyces sp. NBC 00178']	chromosome
CP108144	['NBC_00178']	['Streptomyces sp. NBC 00178']	plasmid
CP108142	['NBC_00179']	['Streptomyces virginiae']	chromosome
CP108140	['NBC 00180']	['Streptomyces sp. NBC_00180']	chromosome
CP108141	['NBC 00180']	['Streptomyces sp. NBC_00180']	extrachromosomal
CP108137	['NBC_00184']	['Streptomyces sp. NBC 00184']	chromosome
CP108138	['NBC_00184']	['Streptomyces sp. NBC 00184']	plasmid
CP108139	['NBC_00184']	['Streptomyces sp. NBC 00184']	plasmid
CP108135	['NBC_00185']	['[Kitasatospora] papulosa']	chromosome
CP108136	['NBC_00185']	['[Kitasatospora] papulosa']	plasmid
CP108134	['NBC_00186']	['Streptomyces phaeochromogenes']	chromosome
CP108333	['NBC_00187']	['Streptomyces phaeochromogenes']	chromosome
CP108133	['NBC_00189']	['Streptomyces tauricus']	chromosome
CP108131	['NBC_00190']	['Streptomyces sp. NBC_00190']	chromosome
CP108132	['NBC_00190']	['Streptomyces sp. NBC_00190']	plasmid
CP108130	['NBC_00191']	['Streptomyces sp. NBC 00191']	chromosome
CP108129	['NBC_00196']	['Microbispora hainanensis']	chromosome
CP108128	['NBC_00197']	['Streptomyces sp. NBC 00197']	chromosome
CP108127	['NBC_00200']	['Streptomyces mirabilis']	chromosome
CP108126	['NBC_00203']	['Streptomyces sp. NBC 00203']	chromosome
CP108125	['NBC_00206']	['Streptomyces nigra']	chromosome
CP108124	['NBC_00207']	['Streptomyces sp. NBC_00207']	chromosome
CP130715	['NBC_00207']	['Streptomyces sp. NBC_00207']	chromosome
CP108123	['NBC_00208']	['Streptomyces sp. NBC 00208']	chromosome
CP108121	['NBC_00209']	['Streptomyces sp. NBC 00209']	chromosome
CP108122	['NBC_00209']	['Streptomyces sp. NBC 00209']	plasmid
CP108120	['NBC_00210']	['Streptomyces sp. NBC_00210']	chromosome
CP108118	['NBC_00211']	['Streptomyces sp. NBC 00211']	chromosome
CP108119	['NBC_00211']	['Streptomyces sp. NBC 00211']	plasmid
CP108115	['NBC_00212']	['Streptomyces sp. NBC 00212']	chromosome
CP108116	['NBC_00212']	['Streptomyces sp. NBC 00212']	plasmid
CP108117	['NBC_00212']	['Streptomyces sp. NBC 00212']	plasmid
CP108114	['NBC_00215']	['Streptomyces chartreusis']	chromosome
CP108113	['NBC_00217']	['Streptomyces achromogenes']	chromosome
CP108111	['NBC_00220']	['Streptomyces virginiae']	chromosome
CP108112	['NBC_00220']	['Streptomyces virginiae']	plasmid
CP108345	['NBC_00221']	['Streptomyces phaeochromogenes']	chromosome
CP108110	['NBC_00222']	['Kitasatospora purpeofusca']	chromosome
CP108109	['NBC_00223']	['Streptomyces sp. NBC 00223']	chromosome
CP108106	['NBC 00224']	['Streptomyces sp. NBC 00224']	chromosome
CP108107	['NBC 00224']	['Streptomyces sp. NBC 00224']	plasmid
CP108108	['NBC 00224']	['Streptomyces sp. NBC 00224']	extrachromosomal
CP108105	['NBC_00225']	['Streptomyces canus']	chromosome
CP108103	['NBC 00226']	['Streptomyces virginiae']	chromosome
CP108104	['NBC 00226']	['Streptomyces virginiae']	extrachromosomal
CP108102	['NBC_00228']	['Streptomyces sp. NBC_00228']	chromosome
CP108101	['NBC_00234']	['Streptomyces sp. NBC_00234']	chromosome
CP108100	['NBC_00236']	['Streptomyces sp. NBC_00236']	chromosome
CP108344	['NBC_00238']	['Streptomyces gancidicus']	chromosome
CP108095	['NBC_00239']	['Streptomyces sp. NBC_00239']	chromosome
CP108096	['NBC_00239']	['Streptomyces sp. NBC_00239']	plasmid
CP108097	['NBC_00239']	['Streptomyces sp. NBC_00239']	plasmid
CP108098	['NBC_00239']	['Streptomyces sp. NBC_00239']	plasmid
CP108099	['NBC_00239']	['Streptomyces sp. NBC_00239']	plasmid
CP108094	['NBC_00243']	['Streptomyces sp. NBC 00243']	chromosome
CP108093	['NBC_00247']	['Streptomyces sp. NBC 00247']	chromosome
CP108090	['NBC_00248']	['Streptomyces virginiae']	chromosome
CP108091	['NBC_00248']	['Streptomyces virginiae']	plasmid
CP108092	['NBC_00248']	['Streptomyces virginiae']	plasmid
CP108088	['NBC_00250']	['Streptomyces sp. NBC_00250']	chromosome
CP108089	['NBC_00250']	['Streptomyces sp. NBC_00250']	plasmid
CP108087	['NBC_00252']	['Streptomyces sp. NBC 00252']	chromosome
CP108086	['NBC_00253']	['Microbispora hainanensis']	chromosome
CP108085	['NBC_00254']	['Microbispora hainanensis']	chromosome
CP108084	['NBC_00256']	['Micromonospora globbae']	chromosome
CP108082	['NBC_00257']	['Streptomyces sp. NBC 00257']	chromosome
CP108083	['NBC_00257']	['Streptomyces sp. NBC 00257']	plasmid
CP108081	['NBC_00258']	['Streptomyces sp. NBC_00258']	chromosome
CP108080	['NBC_00259']	['Streptomyces sp. NBC_00259']	chromosome
CP108079	['NBC_00261']	['Streptomyces europaeiscabiei']	chromosome
CP108076	['NBC_00267']	['Streptomyces sp. NBC 00267']	chromosome
CP108077	['NBC_00267']	['Streptomyces sp. NBC 00267']	plasmid
CP108078	['NBC_00267']	['Streptomyces sp. NBC 00267']	plasmid
CP108075	['NBC_00269']	['Streptomyces sp. NBC 00269']	chromosome
CP108073	['NBC_00270']	['Streptomyces caniferus']	chromosome
CP108074	['NBC_00270']	['Streptomyces caniferus']	plasmid
CP108070	['NBC_00271']	['Streptomyces sp. NBC 00271']	chromosome
CP108071	['NBC_00271']	['Streptomyces sp. NBC 00271']	plasmid
CP108072	['NBC_00271']	['Streptomyces sp. NBC 00271']	plasmid
CP108068	['NBC_00272']	['Streptomyces sp. NBC 00272']	chromosome
CP108069	['NBC_00272']	['Streptomyces sp. NBC 00272']	plasmid
CP108067	['NBC_00273']	['Streptomyces sp. NBC_00273']	chromosome
CP108065	['NBC_00277']	['Streptomyces canus']	chromosome
CP108066	['NBC_00277']	['Streptomyces canus']	plasmid
CP108062	['NBC 00278']	['Streptomyces zaomyceticus']	chromosome
CP108063	['NBC 00278']	['Streptomyces zaomyceticus']	plasmid
CP108064	['NBC 00278']	['Streptomyces zaomyceticus']	extrachromosomal
CP108059	['NBC 00280']	['Streptomyces sp. NBC 00280']	chromosome
CP108060	['NBC 00280']	['Streptomyces sp. NBC 00280']	plasmid
CP108061	['NBC 00280']	['Streptomyces sp. NBC 00280']	extrachromosomal
CP108057	['NBC_00283']	['Streptomyces goshikiensis']	chromosome
CP108058	['NBC_00283']	['Streptomyces goshikiensis']	plasmid
CP108055	['NBC_00285']	['Streptomyces sp. NBC 00285']	chromosome
CP108056	['NBC_00285']	['Streptomyces sp. NBC 00285']	plasmid
CP108054	['NBC_00286']	['Streptomyces sp. NBC 00286']	chromosome
CP108053	['NBC_00287']	['Streptomyces sp. NBC 00287']	chromosome
CP108052	['NBC_00288']	['Streptomyces virginiae']	chromosome
CP108046	['NBC 00289']	['Streptomyces sp. NBC 00289']	chromosome
CP108047	['NBC 00289']	['Streptomyces sp. NBC 00289']	plasmid
CP108048	['NBC 00289']	['Streptomyces sp. NBC 00289']	plasmid
CP108049	['NBC 00289']	['Streptomyces sp. NBC 00289']	plasmid
CP108050	['NBC 00289']	['Streptomyces sp. NBC 00289']	plasmid
CP108051	['NBC 00289']	['Streptomyces sp. NBC 00289']	extrachromosomal
CP108342	['NBC_00293']	['Streptomyces violaceus']	chromosome
CP108043	['NBC_00294']	['Rhodococcus sp. NBC 00294']	chromosome
CP108044	['NBC_00294']	['Rhodococcus sp. NBC 00294']	plasmid
CP108045	['NBC_00294']	['Rhodococcus sp. NBC 00294']	plasmid
CP108332	['NBC_00295']	['Micromonospora chokoriensis']	chromosome
CP108041	['NBC_00297']	['Rhodococcus sp. NBC 00297']	chromosome
CP108042	['NBC_00297']	['Rhodococcus sp. NBC 00297']	plasmid
CP108039	['NBC_00299']	['Streptomyces sp. NBC 00299']	chromosome
CP108040	['NBC_00299']	['Streptomyces sp. NBC 00299']	plasmid
CP108038	['NBC_00302']	['Streptomyces bobili']	chromosome
CP108036	['NBC_00303']	['Streptomyces erythrochromogenes']	chromosome
CP108037	['NBC_00303']	['Streptomyces erythrochromogenes']	plasmid
CP108033	['NBC_00304']	['Streptomyces sp. NBC 00304']	chromosome
CP108034	['NBC_00304']	['Streptomyces sp. NBC 00304']	plasmid
CP108035	['NBC_00304']	['Streptomyces sp. NBC 00304']	plasmid
CP108032	['NBC_00306']	['Streptomyces sp. NBC 00306']	chromosome
CP130714	['NBC_00310']	['Streptomyces sp. NBC_00310']	chromosome
CP108031	['NBC_00310']	['Streptomyces sp. NBC_00310']	chromosome
CP108030	['NBC_00311']	['Streptomyces sp. NBC 00311']	chromosome
CP108029	['NBC_00314']	['Streptomyces caniferus']	chromosome
CP108025	['NBC 00315']	['Kitasatospora sp. NBC 00315']	chromosome
CP108026	['NBC 00315']	['Kitasatospora sp. NBC 00315']	plasmid
CP108027	['NBC 00315']	['Kitasatospora sp. NBC 00315']	plasmid
CP108028	['NBC 00315']	['Kitasatospora sp. NBC 00315']	extrachromosomal
CP108023	['NBC_00316']	['Streptomyces sp. NBC 00316']	chromosome
CP108024	['NBC_00316']	['Streptomyces sp. NBC 00316']	plasmid
CP108022	['NBC_00317']	['Micromonospora zamorensis']	chromosome
CP108021	['NBC_00319']	['Williamsia herbipolensis']	chromosome
CP108020	['NBC_00321']	['Nocardia salmonicida']	chromosome
CP108019	['NBC_00322']	['Streptomyces sp. NBC 00322']	chromosome
CP108016	['NBC 00324']	['Streptomyces virginiae']	chromosome
CP108017	['NBC 00324']	['Streptomyces virginiae']	extrachromosomal
CP108018	['NBC 00324']	['Streptomyces virginiae']	extrachromosomal
CP108014	['NBC_00326']	['Nocardia salmonicida']	chromosome
CP108015	['NBC_00326']	['Nocardia salmonicida']	plasmid
CP108013	['NBC_00328']	['Streptomyces sp. NBC_00328']	chromosome
CP108012	['NBC_00330']	['Micromonospora sp. NBC_00330']	chromosome
CP108011	['NBC_00333']	['Streptomyces phaeochromogenes']	chromosome
CP108008	['NBC_00334']	['Streptomyces sp. NBC 00334']	chromosome
CP108009	['NBC_00334']	['Streptomyces sp. NBC 00334']	plasmid
CP108010	['NBC_00334']	['Streptomyces sp. NBC 00334']	plasmid
CP108006	['NBC_00335']	['Streptomyces sp. NBC 00335']	chromosome
CP108007	['NBC_00335']	['Streptomyces sp. NBC 00335']	plasmid
CP108005	['NBC_00337']	['Streptomyces caniferus']	chromosome
CP108002	['NBC 00341']	['Streptomyces sp. NBC 00341']	chromosome
CP108003	['NBC 00341']	['Streptomyces sp. NBC 00341']	plasmid
CP108004	['NBC 00341']	['Streptomyces sp. NBC 00341']	extrachromosomal
CP107999	['NBC_00342']	['Streptomyces sp. NBC 00342']	chromosome
CP108000	['NBC_00342']	['Streptomyces sp. NBC 00342']	plasmid
CP108001	['NBC_00342']	['Streptomyces sp. NBC 00342']	plasmid
CP107998	['NBC_00343']	['Streptomyces sp. NBC 00343']	chromosome
CP107996	['NBC_00344']	['Streptomyces sp. NBC 00344']	chromosome
CP107997	['NBC_00344']	['Streptomyces sp. NBC 00344']	plasmid
CP107995	['NBC_00345']	['Amycolatopsis sp. NBC 00345']	chromosome
CP107994	['NBC_00348']	['Amycolatopsis sp. NBC 00348']	chromosome
CP107989	['NBC 00349']	['Streptomyces canus']	chromosome
CP107990	['NBC 00349']	['Streptomyces canus']	plasmid
CP107991	['NBC 00349']	['Streptomyces canus']	plasmid
CP107992	['NBC 00349']	['Streptomyces canus']	extrachromosomal
CP107993	['NBC 00349']	['Streptomyces canus']	plasmid
CP107986	['NBC_00350']	['Streptomyces canus']	chromosome
CP107987	['NBC_00350']	['Streptomyces canus']	plasmid
CP107988	['NBC_00350']	['Streptomyces canus']	plasmid
CP107985	['NBC_00353']	['Streptomyces sp. NBC 00353']	chromosome
CP107983	['NBC_00354']	['Streptomyces sp. NBC 00354']	chromosome
CP107984	['NBC_00354']	['Streptomyces sp. NBC 00354']	plasmid
CP107982	['NBC_00355']	['Amycolatopsis sp. NBC 00355']	chromosome
CP107981	['NBC_00356']	['Streptomyces sp. NBC 00356']	chromosome
CP107977	['NBC_00357']	['Streptomyces coelicoflavus']	chromosome
CP107978	['NBC_00357']	['Streptomyces coelicoflavus']	plasmid
CP107979	['NBC_00357']	['Streptomyces coelicoflavus']	plasmid
CP107980	['NBC_00357']	['Streptomyces coelicoflavus']	plasmid
CP107976	['NBC_00358']	['Streptomyces sp. NBC 00358']	chromosome
CP107975	['NBC_00359']	['Kribbella sp. NBC 00359']	chromosome
CP107974	['NBC_00361']	['Micromonospora zamorensis']	chromosome
CP107972	['NBC_00363']	['Streptomyces europaeiscabiei']	chromosome
CP107973	['NBC_00363']	['Streptomyces europaeiscabiei']	plasmid
CP107971	['NBC_00366']	['Streptomyces sp. NBC 00366']	chromosome
CP107970	['NBC_00368']	['Nocardioides sp. NBC 00368']	chromosome
CP107969	['NBC_00369']	['Nocardia cyriacigeorgica']	chromosome
CP107968	['NBC_00370']	['Streptomyces sp. NBC 00370']	chromosome
CP107967	['NBC_00371']	['Streptomyces sp. NBC 00371']	chromosome
CP107964	['NBC 00374']	['Kitasatospora sp. NBC 00374']	chromosome
CP107965	['NBC 00374']	['Kitasatospora sp. NBC 00374']	plasmid
CP107966	['NBC 00374']	['Kitasatospora sp. NBC 00374']	extrachromosomal
CP107963	['NBC_00375']	['Streptomyces platensis']	chromosome
CP107960	['NBC_00376']	['Streptomyces sp. NBC 00376']	chromosome
CP107961	['NBC_00376']	['Streptomyces sp. NBC 00376']	plasmid
CP107962	['NBC_00376']	['Streptomyces sp. NBC 00376']	plasmid
CP107958	['NBC_00377']	['Streptomyces sp. NBC 00377']	chromosome
CP107959	['NBC_00377']	['Streptomyces sp. NBC 00377']	plasmid
CP107957	['NBC_00379']	['Streptomyces mirabilis']	chromosome
CP107956	['NBC_00380']	['Kribbella soli']	chromosome
CP107955	['NBC_00381']	['Streptomyces mirabilis']	chromosome
CP107954	['NBC_00382']	['Kribbella sp. NBC 00382']	chromosome
CP107952	['NBC 00383']	['Streptomyces tubercidicus']	chromosome
CP107953	['NBC 00383']	['Streptomyces tubercidicus']	extrachromosomal
CP107951	['NBC_00385']	['Streptomyces sp. NBC 00385']	chromosome
CP107950	['NBC_00386']	['Streptomyces sp. NBC 00386']	chromosome
